incident_id,facility_id,equipment_id,related_sop_id,reporter_employee_id,title,description,hazard_category,shift,date_occurred,severity_reported,severity_ai_classified,ai_confidence,status,ai_investigation_summary,ai_root_cause,created_at
INC-0017,FAC-003,EQ-0011,SOP-0004,EMP-0018,Caught-In / Caught-Between – Hydraulic Press,Worker's hand came close to nip point on Hydraulic Press conveyor during clearing of jam.,Caught-In / Caught-Between,Night,2025-10-20,High,High,0.88,Closed,Site walk-down of Hydraulic Press area and review of CCTV footage conducted; contributing factors identified in equipment condition and procedure adherence.,Insufficient preventive maintenance schedule for Hydraulic Press allowed component degradation to go undetected.,2025-10-22
INC-0018,FAC-003,EQ-0029,SOP-0013,EMP-0027,Ergonomic Strain – Forklift (Propane),Employee reported lower back strain after repetitive lifting at Forklift (Propane) station.,Ergonomic Strain,Night,2025-05-11,Medium,Low,0.69,Closed,Initial review of Forklift (Propane) maintenance logs and interviews with shift personnel confirmed hazard was present prior to incident.,Existing engineering control on Forklift (Propane) was inadequate for current operating conditions.,2025-05-12
INC-0019,FAC-001,EQ-0004,SOP-0013,EMP-0022,Ergonomic Strain – Industrial Boiler,Employee reported lower back strain after repetitive lifting at Industrial Boiler station.,Ergonomic Strain,Swing,2025-09-29,Medium,High,0.86,In Review,"Investigation team reviewed Industrial Boiler operating parameters, training records, and prior near-miss reports for the area.",Gap in operator training on Industrial Boiler safety procedures contributed to unsafe practice.,2025-09-30
INC-0020,FAC-003,EQ-0011,SOP-0013,EMP-0006,Heat Stress – Hydraulic Press,High ambient temperature near Hydraulic Press area exceeded safe working thresholds.,Heat Stress,Swing,2025-09-28,Low,Low,0.94,Closed,Initial review of Hydraulic Press maintenance logs and interviews with shift personnel confirmed hazard was present prior to incident.,Communication breakdown between shifts regarding Hydraulic Press status contributed to the incident.,2025-09-29
INC-0021,FAC-003,EQ-0031,SOP-0001,EMP-0015,Lockout/Tagout Violation – Industrial Boiler,LOTO device found removed from Industrial Boiler while work was still in progress.,Lockout/Tagout Violation,Swing,2024-05-08,Critical,Critical,0.88,Closed,"Investigation team reviewed Industrial Boiler operating parameters, training records, and prior near-miss reports for the area.",Communication breakdown between shifts regarding Industrial Boiler status contributed to the incident.,2024-05-10
INC-0022,FAC-001,EQ-0001,SOP-0017,EMP-0028,Noise Exposure – CNC Machining Center,Sound level survey near CNC Machining Center exceeded 90 dBA without proper hearing protection use.,Noise Exposure,Day,2024-10-25,Low,Medium,0.86,Closed,Initial review of CNC Machining Center maintenance logs and interviews with shift personnel confirmed hazard was present prior to incident.,Existing engineering control on CNC Machining Center was inadequate for current operating conditions.,2024-10-25
INC-0023,FAC-003,EQ-0002,SOP-0014,EMP-0030,Fire / Explosion Risk – Overhead Bridge Crane,"Overheating detected on Overhead Bridge Crane motor housing, smoke observed, no ignition.",Fire / Explosion Risk,Day,2025-01-26,High,Medium,0.94,Open,Initial review of Overhead Bridge Crane maintenance logs and interviews with shift personnel confirmed hazard was present prior to incident.,Insufficient preventive maintenance schedule for Overhead Bridge Crane allowed component degradation to go undetected.,2025-01-27
INC-0024,FAC-001,EQ-0019,SOP-0017,EMP-0013,Noise Exposure – Robotic Welding Arm,Sound level survey near Robotic Welding Arm exceeded 90 dBA without proper hearing protection use.,Noise Exposure,Day,2023-12-17,Low,Low,0.71,Approved,Initial review of Robotic Welding Arm maintenance logs and interviews with shift personnel confirmed hazard was present prior to incident.,Procedure for Robotic Welding Arm was not followed due to production time pressure.,2023-12-18
INC-0025,FAC-002,EQ-0048,SOP-0007,EMP-0008,Chemical Exposure – Electrical Distribution Panel,"Small chemical splash occurred during transfer of cleaning agent, PPE prevented injury.",Chemical Exposure,Night,2023-11-28,Medium,High,0.82,Closed,Initial review of Electrical Distribution Panel maintenance logs and interviews with shift personnel confirmed hazard was present prior to incident.,Insufficient preventive maintenance schedule for Electrical Distribution Panel allowed component degradation to go undetected.,2023-11-29
INC-0026,FAC-002,EQ-0042,SOP-0007,EMP-0020,Chemical Exposure – Standby Generator,"Small chemical splash occurred during transfer of cleaning agent, PPE prevented injury.",Chemical Exposure,Night,2024-01-29,High,High,0.72,Approved,Initial review of Standby Generator maintenance logs and interviews with shift personnel confirmed hazard was present prior to incident.,Existing engineering control on Standby Generator was inadequate for current operating conditions.,2024-01-31
INC-0027,FAC-003,EQ-0029,SOP-0015,EMP-0030,Environmental Spill / Release – Forklift (Propane),Coolant leak from Forklift (Propane) required environmental spill response team.,Environmental Spill / Release,Swing,2026-01-29,Low,Low,0.88,Open,"Investigation team reviewed Forklift (Propane) operating parameters, training records, and prior near-miss reports for the area.",Communication breakdown between shifts regarding Forklift (Propane) status contributed to the incident.,2026-01-29
INC-0028,FAC-002,EQ-0045,SOP-0013,EMP-0020,Ergonomic Strain – Robotic Welding Arm,Repetitive motion injury reported by operator working at Robotic Welding Arm for extended shift.,Ergonomic Strain,Swing,2025-11-25,Low,Low,0.81,Closed,"Investigation team reviewed Robotic Welding Arm operating parameters, training records, and prior near-miss reports for the area.",Existing engineering control on Robotic Welding Arm was inadequate for current operating conditions.,2025-11-26
INC-0029,FAC-001,EQ-0022,SOP-0013,EMP-0004,Heat Stress – Forklift (Propane),Employee reported heat exhaustion symptoms working near Forklift (Propane) during summer shift.,Heat Stress,Day,2024-03-09,Medium,Medium,0.85,Closed,"Investigation team reviewed Forklift (Propane) operating parameters, training records, and prior near-miss reports for the area.",SOP for Forklift (Propane) was outdated and did not reflect current equipment configuration.,2024-03-11
INC-0030,FAC-002,EQ-0020,SOP-0009,EMP-0017,Overhead Crane / Rigging Hazard – Hydraulic Press,"Rigging inspection on Hydraulic Press found frayed sling, removed from service.",Overhead Crane / Rigging Hazard,Night,2023-12-15,Critical,Critical,0.79,Closed,"Investigation team reviewed Hydraulic Press operating parameters, training records, and prior near-miss reports for the area.",SOP for Hydraulic Press was outdated and did not reflect current equipment configuration.,2023-12-15
INC-0031,FAC-001,EQ-0022,SOP-0013,EMP-0016,Heat Stress – Forklift (Propane),Employee reported heat exhaustion symptoms working near Forklift (Propane) during summer shift.,Heat Stress,Day,2025-09-22,Low,Low,0.75,Approved,Site walk-down of Forklift (Propane) area and review of CCTV footage conducted; contributing factors identified in equipment condition and procedure adherence.,Design of Forklift (Propane) work area did not adequately separate personnel from hazard zone.,2025-09-24
INC-0032,FAC-003,EQ-0002,SOP-0014,EMP-0018,Fire / Explosion Risk – Overhead Bridge Crane,"Overheating detected on Overhead Bridge Crane motor housing, smoke observed, no ignition.",Fire / Explosion Risk,Day,2025-05-25,High,High,0.73,Closed,Initial review of Overhead Bridge Crane maintenance logs and interviews with shift personnel confirmed hazard was present prior to incident.,SOP for Overhead Bridge Crane was outdated and did not reflect current equipment configuration.,2025-05-27
INC-0033,FAC-002,EQ-0018,SOP-0010,EMP-0023,Electrical Hazard / Arc Flash – Automated Guided Vehicle (AGV),Arc flash incident occurred while technician opened electrical panel on Automated Guided Vehicle (AGV) without verifying de-energization.,Electrical Hazard / Arc Flash,Day,2024-11-14,Low,Low,0.73,Closed,Site walk-down of Automated Guided Vehicle (AGV) area and review of CCTV footage conducted; contributing factors identified in equipment condition and procedure adherence.,Communication breakdown between shifts regarding Automated Guided Vehicle (AGV) status contributed to the incident.,2024-11-15
INC-0034,FAC-003,EQ-0007,SOP-0001,EMP-0006,Lockout/Tagout Violation – Hydraulic Press,Technician began maintenance on Hydraulic Press before verifying zero energy state; near-miss caught by co-worker.,Lockout/Tagout Violation,Day,2024-02-15,Low,Low,0.86,In Review,Site walk-down of Hydraulic Press area and review of CCTV footage conducted; contributing factors identified in equipment condition and procedure adherence.,Existing engineering control on Hydraulic Press was inadequate for current operating conditions.,2024-02-15
INC-0035,FAC-003,EQ-0011,SOP-0027,EMP-0018,Pressure System Failure – Hydraulic Press,"Pressure gauge reading anomaly detected on Hydraulic Press, unit taken offline as precaution.",Pressure System Failure,Day,2026-05-24,Medium,Medium,0.75,Closed,"Investigation team reviewed Hydraulic Press operating parameters, training records, and prior near-miss reports for the area.",Insufficient preventive maintenance schedule for Hydraulic Press allowed component degradation to go undetected.,2026-05-24
INC-0036,FAC-001,EQ-0008,SOP-0024,EMP-0013,Falling Object / Struck-By – Standby Generator,"Component fell from overhead storage near Standby Generator, narrowly missing employee below.",Falling Object / Struck-By,Swing,2025-07-03,Low,Low,0.81,Open,Initial review of Standby Generator maintenance logs and interviews with shift personnel confirmed hazard was present prior to incident.,Procedure for Standby Generator was not followed due to production time pressure.,2025-07-05
INC-0037,FAC-003,EQ-0024,SOP-0024,EMP-0024,Housekeeping / Walkway Obstruction – CNC Machining Center,Debris accumulation near CNC Machining Center blocked emergency egress path.,Housekeeping / Walkway Obstruction,Day,2023-11-26,Medium,Medium,0.94,Closed,"Investigation team reviewed CNC Machining Center operating parameters, training records, and prior near-miss reports for the area.",Procedure for CNC Machining Center was not followed due to production time pressure.,2023-11-28
INC-0038,FAC-002,EQ-0042,SOP-0002,EMP-0002,Confined Space Hazard – Standby Generator,Atmospheric monitoring flagged low oxygen levels prior to entry near Standby Generator tank.,Confined Space Hazard,Swing,2025-06-27,Low,Medium,0.93,In Review,Site walk-down of Standby Generator area and review of CCTV footage conducted; contributing factors identified in equipment condition and procedure adherence.,Insufficient preventive maintenance schedule for Standby Generator allowed component degradation to go undetected.,2025-06-28
INC-0039,FAC-001,EQ-0006,SOP-0009,EMP-0004,Overhead Crane / Rigging Hazard – Automated Guided Vehicle (AGV),"Rigging inspection on Automated Guided Vehicle (AGV) found frayed sling, removed from service.",Overhead Crane / Rigging Hazard,Night,2025-11-19,High,High,0.78,Closed,Initial review of Automated Guided Vehicle (AGV) maintenance logs and interviews with shift personnel confirmed hazard was present prior to incident.,Insufficient preventive maintenance schedule for Automated Guided Vehicle (AGV) allowed component degradation to go undetected.,2025-11-21
INC-0040,FAC-003,EQ-0011,SOP-0024,EMP-0021,Housekeeping / Walkway Obstruction – Hydraulic Press,Pallets stored in designated walkway near Hydraulic Press created obstruction hazard.,Housekeeping / Walkway Obstruction,Swing,2024-06-29,Low,Low,0.74,Closed,"Investigation team reviewed Hydraulic Press operating parameters, training records, and prior near-miss reports for the area.",Gap in operator training on Hydraulic Press safety procedures contributed to unsafe practice.,2024-07-01
INC-0041,FAC-001,EQ-0005,SOP-0013,EMP-0028,Heat Stress – Overhead Bridge Crane,High ambient temperature near Overhead Bridge Crane area exceeded safe working thresholds.,Heat Stress,Night,2026-03-08,Medium,High,0.87,Open,"Investigation team reviewed Overhead Bridge Crane operating parameters, training records, and prior near-miss reports for the area.",Existing engineering control on Overhead Bridge Crane was inadequate for current operating conditions.,2026-03-10
INC-0042,FAC-002,EQ-0023,SOP-0004,EMP-0020,Caught-In / Caught-Between – Conveyor System,"Employee's sleeve caught in moving components of Conveyor System, stopped before injury.",Caught-In / Caught-Between,Swing,2025-05-13,High,Critical,0.79,Closed,Initial review of Conveyor System maintenance logs and interviews with shift personnel confirmed hazard was present prior to incident.,Existing engineering control on Conveyor System was inadequate for current operating conditions.,2025-05-14
INC-0043,FAC-002,EQ-0014,SOP-0001,EMP-0003,Lockout/Tagout Violation – Robotic Welding Arm,LOTO device found removed from Robotic Welding Arm while work was still in progress.,Lockout/Tagout Violation,Swing,2024-03-03,Medium,High,0.82,In Review,"Investigation team reviewed Robotic Welding Arm operating parameters, training records, and prior near-miss reports for the area.",Design of Robotic Welding Arm work area did not adequately separate personnel from hazard zone.,2024-03-05
INC-0044,FAC-001,EQ-0015,SOP-0024,EMP-0022,Falling Object / Struck-By – Paint Booth / Coating Line,Worker struck by ejected part from Paint Booth / Coating Line during operation.,Falling Object / Struck-By,Night,2026-06-23,Low,Low,0.71,In Review,Site walk-down of Paint Booth / Coating Line area and review of CCTV footage conducted; contributing factors identified in equipment condition and procedure adherence.,Communication breakdown between shifts regarding Paint Booth / Coating Line status contributed to the incident.,2026-06-23
INC-0045,FAC-003,EQ-0016,SOP-0001,EMP-0027,Lockout/Tagout Violation – Standby Generator,Technician began maintenance on Standby Generator before verifying zero energy state; near-miss caught by co-worker.,Lockout/Tagout Violation,Night,2026-02-16,Medium,High,0.79,Closed,Site walk-down of Standby Generator area and review of CCTV footage conducted; contributing factors identified in equipment condition and procedure adherence.,Procedure for Standby Generator was not followed due to production time pressure.,2026-02-17
INC-0046,FAC-002,EQ-0014,SOP-0017,EMP-0003,Noise Exposure – Robotic Welding Arm,Sound level survey near Robotic Welding Arm exceeded 90 dBA without proper hearing protection use.,Noise Exposure,Swing,2025-10-31,Low,Medium,0.78,Closed,"Investigation team reviewed Robotic Welding Arm operating parameters, training records, and prior near-miss reports for the area.",Communication breakdown between shifts regarding Robotic Welding Arm status contributed to the incident.,2025-10-31
INC-0047,FAC-002,EQ-0034,SOP-0015,EMP-0003,Environmental Spill / Release – Conveyor System,Hydraulic oil spill from Conveyor System reached floor drain before containment.,Environmental Spill / Release,Night,2025-05-27,Medium,Medium,0.88,Closed,"Investigation team reviewed Conveyor System operating parameters, training records, and prior near-miss reports for the area.",Communication breakdown between shifts regarding Conveyor System status contributed to the incident.,2025-05-29
INC-0048,FAC-001,EQ-0022,SOP-0009,EMP-0016,Overhead Crane / Rigging Hazard – Forklift (Propane),"Rigging inspection on Forklift (Propane) found frayed sling, removed from service.",Overhead Crane / Rigging Hazard,Day,2025-05-25,Low,Low,0.96,Closed,Site walk-down of Forklift (Propane) area and review of CCTV footage conducted; contributing factors identified in equipment condition and procedure adherence.,Gap in operator training on Forklift (Propane) safety procedures contributed to unsafe practice.,2025-05-25
INC-0049,FAC-001,EQ-0005,SOP-0029,EMP-0025,Slip/Trip/Fall – Overhead Bridge Crane,"Worker tripped over unsecured cable near Overhead Bridge Crane walkway, no injury reported.",Slip/Trip/Fall,Day,2026-08-14,Low,Low,0.72,Approved,Site walk-down of Overhead Bridge Crane area and review of CCTV footage conducted; contributing factors identified in equipment condition and procedure adherence.,Gap in operator training on Overhead Bridge Crane safety procedures contributed to unsafe practice.,2026-08-14
INC-0050,FAC-001,EQ-0041,SOP-0005,EMP-0019,Forklift / Vehicle Incident – CNC Machining Center,Near-miss between forklift and pedestrian in aisle adjacent to CNC Machining Center.,Forklift / Vehicle Incident,Day,2025-09-16,Medium,Medium,0.86,In Review,"Investigation team reviewed CNC Machining Center operating parameters, training records, and prior near-miss reports for the area.",Design of CNC Machining Center work area did not adequately separate personnel from hazard zone.,2025-09-17
INC-0051,FAC-001,EQ-0017,SOP-0013,EMP-0010,Ergonomic Strain – Conveyor System,Repetitive motion injury reported by operator working at Conveyor System for extended shift.,Ergonomic Strain,Swing,2025-09-23,Medium,High,0.82,In Review,Site walk-down of Conveyor System area and review of CCTV footage conducted; contributing factors identified in equipment condition and procedure adherence.,Design of Conveyor System work area did not adequately separate personnel from hazard zone.,2025-09-24
INC-0052,FAC-003,EQ-0049,SOP-0009,EMP-0012,Overhead Crane / Rigging Hazard – Punch Press,"Load shifted unexpectedly while being lifted by Punch Press, operator halted lift safely.",Overhead Crane / Rigging Hazard,Day,2025-01-25,Low,Low,0.85,Closed,Initial review of Punch Press maintenance logs and interviews with shift personnel confirmed hazard was present prior to incident.,Communication breakdown between shifts regarding Punch Press status contributed to the incident.,2025-01-27
INC-0053,FAC-001,EQ-0008,SOP-0029,EMP-0022,Slip/Trip/Fall – Standby Generator,"Employee slipped on hydraulic fluid leak near Standby Generator, sustained minor bruising.",Slip/Trip/Fall,Swing,2026-07-18,Low,Low,0.96,Closed,Initial review of Standby Generator maintenance logs and interviews with shift personnel confirmed hazard was present prior to incident.,Design of Standby Generator work area did not adequately separate personnel from hazard zone.,2026-07-19
INC-0054,FAC-002,EQ-0010,SOP-0009,EMP-0023,Overhead Crane / Rigging Hazard – CNC Machining Center,"Load shifted unexpectedly while being lifted by CNC Machining Center, operator halted lift safely.",Overhead Crane / Rigging Hazard,Swing,2025-10-05,Low,Low,0.75,Closed,Site walk-down of CNC Machining Center area and review of CCTV footage conducted; contributing factors identified in equipment condition and procedure adherence.,Insufficient preventive maintenance schedule for CNC Machining Center allowed component degradation to go undetected.,2025-10-07
INC-0055,FAC-003,EQ-0029,SOP-0010,EMP-0018,Electrical Hazard / Arc Flash – Forklift (Propane),Arc flash incident occurred while technician opened electrical panel on Forklift (Propane) without verifying de-energization.,Electrical Hazard / Arc Flash,Day,2026-04-25,Medium,Medium,0.82,Open,"Investigation team reviewed Forklift (Propane) operating parameters, training records, and prior near-miss reports for the area.",Insufficient preventive maintenance schedule for Forklift (Propane) allowed component degradation to go undetected.,2026-04-25
INC-0056,FAC-001,EQ-0008,SOP-0024,EMP-0028,Falling Object / Struck-By – Standby Generator,"Component fell from overhead storage near Standby Generator, narrowly missing employee below.",Falling Object / Struck-By,Night,2026-08-16,Medium,Medium,0.77,Closed,Initial review of Standby Generator maintenance logs and interviews with shift personnel confirmed hazard was present prior to incident.,Gap in operator training on Standby Generator safety procedures contributed to unsafe practice.,2026-08-17
INC-0057,FAC-003,EQ-0043,SOP-0029,EMP-0030,Slip/Trip/Fall – CNC Machining Center,"Employee slipped on hydraulic fluid leak near CNC Machining Center, sustained minor bruising.",Slip/Trip/Fall,Swing,2023-10-04,Medium,High,0.9,Closed,Site walk-down of CNC Machining Center area and review of CCTV footage conducted; contributing factors identified in equipment condition and procedure adherence.,Procedure for CNC Machining Center was not followed due to production time pressure.,2023-10-04
INC-0058,FAC-003,EQ-0031,SOP-0013,EMP-0009,Ergonomic Strain – Industrial Boiler,Repetitive motion injury reported by operator working at Industrial Boiler for extended shift.,Ergonomic Strain,Day,2026-08-08,Critical,High,0.84,Approved,"Investigation team reviewed Industrial Boiler operating parameters, training records, and prior near-miss reports for the area.",SOP for Industrial Boiler was outdated and did not reflect current equipment configuration.,2026-08-08
INC-0059,FAC-002,EQ-0046,SOP-0001,EMP-0011,Lockout/Tagout Violation – Ventilation / Dust Collection System,LOTO device found removed from Ventilation / Dust Collection System while work was still in progress.,Lockout/Tagout Violation,Swing,2023-10-04,Low,Low,0.75,Closed,"Investigation team reviewed Ventilation / Dust Collection System operating parameters, training records, and prior near-miss reports for the area.",Communication breakdown between shifts regarding Ventilation / Dust Collection System status contributed to the incident.,2023-10-04
INC-0060,FAC-003,EQ-0029,SOP-0010,EMP-0030,Electrical Hazard / Arc Flash – Forklift (Propane),Arc flash incident occurred while technician opened electrical panel on Forklift (Propane) without verifying de-energization.,Electrical Hazard / Arc Flash,Swing,2025-07-25,High,High,0.82,Open,"Investigation team reviewed Forklift (Propane) operating parameters, training records, and prior near-miss reports for the area.",Procedure for Forklift (Propane) was not followed due to production time pressure.,2025-07-27
INC-0061,FAC-001,EQ-0040,SOP-0010,EMP-0022,Electrical Hazard / Arc Flash – Automated Guided Vehicle (AGV),Arc flash incident occurred while technician opened electrical panel on Automated Guided Vehicle (AGV) without verifying de-energization.,Electrical Hazard / Arc Flash,Night,2023-11-15,Low,Low,0.95,Closed,Site walk-down of Automated Guided Vehicle (AGV) area and review of CCTV footage conducted; contributing factors identified in equipment condition and procedure adherence.,Existing engineering control on Automated Guided Vehicle (AGV) was inadequate for current operating conditions.,2023-11-17
INC-0062,FAC-002,EQ-0050,SOP-0013,EMP-0029,Heat Stress – Overhead Bridge Crane,High ambient temperature near Overhead Bridge Crane area exceeded safe working thresholds.,Heat Stress,Day,2024-09-26,Low,Low,0.78,Open,Initial review of Overhead Bridge Crane maintenance logs and interviews with shift personnel confirmed hazard was present prior to incident.,Design of Overhead Bridge Crane work area did not adequately separate personnel from hazard zone.,2024-09-27
INC-0063,FAC-002,EQ-0039,SOP-0004,EMP-0005,Caught-In / Caught-Between – Pressure Vessel / Tank,Worker's hand came close to nip point on Pressure Vessel / Tank conveyor during clearing of jam.,Caught-In / Caught-Between,Swing,2026-06-13,Medium,Medium,0.76,Approved,Initial review of Pressure Vessel / Tank maintenance logs and interviews with shift personnel confirmed hazard was present prior to incident.,Communication breakdown between shifts regarding Pressure Vessel / Tank status contributed to the incident.,2026-06-14
INC-0064,FAC-001,EQ-0012,SOP-0005,EMP-0004,Forklift / Vehicle Incident – Punch Press,Near-miss between forklift and pedestrian in aisle adjacent to Punch Press.,Forklift / Vehicle Incident,Swing,2024-02-11,Low,Low,0.81,Closed,"Investigation team reviewed Punch Press operating parameters, training records, and prior near-miss reports for the area.",Procedure for Punch Press was not followed due to production time pressure.,2024-02-11
INC-0065,FAC-003,EQ-0043,SOP-0027,EMP-0021,Pressure System Failure – CNC Machining Center,"Pressure gauge reading anomaly detected on CNC Machining Center, unit taken offline as precaution.",Pressure System Failure,Day,2026-02-07,Low,Low,0.88,Closed,Site walk-down of CNC Machining Center area and review of CCTV footage conducted; contributing factors identified in equipment condition and procedure adherence.,Existing engineering control on CNC Machining Center was inadequate for current operating conditions.,2026-02-09
