risk_assessment_id,facility_id,hazard_category,equipment_id,source_incident_id,related_sop_id,likelihood,impact,risk_score,risk_level,existing_controls,recommended_controls,assessed_by_employee_id,assessment_date,status
RISK-0018,FAC-002,Overhead Crane / Rigging Hazard,EQ-0035,INC-0015,SOP-0009,2,5,10,Medium,Current SOP compliance and PPE use for overhead crane / rigging hazard exposure.,Enhance engineering/administrative controls for overhead crane / rigging hazard at point of work.,EMP-0009,2024-08-27,Closed
RISK-0019,FAC-003,Lockout/Tagout Violation,EQ-0047,INC-0008,SOP-0001,5,3,15,High,Current SOP compliance and PPE use for lockout/tagout violation exposure.,Enhance engineering/administrative controls for lockout/tagout violation at point of work.,EMP-0024,2024-08-30,Open
RISK-0020,FAC-002,Ergonomic Strain,EQ-0038,INC-0099,SOP-0013,5,2,10,Medium,Current SOP compliance and PPE use for ergonomic strain exposure.,Enhance engineering/administrative controls for ergonomic strain at point of work.,EMP-0013,2024-11-03,Open
RISK-0021,FAC-003,Pressure System Failure,EQ-0043,INC-0065,SOP-0027,5,2,10,Medium,Current SOP compliance and PPE use for pressure system failure exposure.,Enhance engineering/administrative controls for pressure system failure at point of work.,EMP-0024,2025-07-23,Mitigated
RISK-0022,FAC-002,Chemical Exposure,EQ-0042,INC-0026,SOP-0007,4,5,20,Critical,Current SOP compliance and PPE use for chemical exposure exposure.,Enhance engineering/administrative controls for chemical exposure at point of work.,EMP-0010,2025-12-14,Mitigated
RISK-0023,FAC-003,Slip/Trip/Fall,EQ-0028,INC-0074,SOP-0029,3,4,12,High,Current SOP compliance and PPE use for slip/trip/fall exposure.,Enhance engineering/administrative controls for slip/trip/fall at point of work.,EMP-0018,2026-02-11,Mitigated
RISK-0024,FAC-002,Housekeeping / Walkway Obstruction,EQ-0023,INC-0096,SOP-0024,2,3,6,Medium,Current SOP compliance and PPE use for housekeeping / walkway obstruction exposure.,Enhance engineering/administrative controls for housekeeping / walkway obstruction at point of work.,EMP-0027,2025-12-25,Open
RISK-0025,FAC-003,Heat Stress,EQ-0011,INC-0020,SOP-0013,1,5,5,Low,Current SOP compliance and PPE use for heat stress exposure.,Enhance engineering/administrative controls for heat stress at point of work.,EMP-0024,2025-03-02,Mitigated
RISK-0026,FAC-001,Noise Exposure,EQ-0001,INC-0022,SOP-0017,4,2,8,Medium,Current SOP compliance and PPE use for noise exposure exposure.,Enhance engineering/administrative controls for noise exposure at point of work.,EMP-0008,2024-07-27,Open
RISK-0027,FAC-002,Caught-In / Caught-Between,EQ-0023,INC-0042,SOP-0004,4,3,12,High,Current SOP compliance and PPE use for caught-in / caught-between exposure.,Enhance engineering/administrative controls for caught-in / caught-between at point of work.,EMP-0002,2025-07-02,Closed
RISK-0028,FAC-003,Caught-In / Caught-Between,EQ-0013,INC-0067,SOP-0004,1,3,3,Low,Current SOP compliance and PPE use for caught-in / caught-between exposure.,Enhance engineering/administrative controls for caught-in / caught-between at point of work.,EMP-0024,2025-11-20,Closed
RISK-0029,FAC-003,Slip/Trip/Fall,EQ-0043,INC-0057,SOP-0029,1,2,2,Low,Current SOP compliance and PPE use for slip/trip/fall exposure.,Enhance engineering/administrative controls for slip/trip/fall at point of work.,EMP-0018,2025-05-05,Open
RISK-0030,FAC-002,Noise Exposure,EQ-0038,INC-0083,SOP-0017,3,1,3,Low,Current SOP compliance and PPE use for noise exposure exposure.,Enhance engineering/administrative controls for noise exposure at point of work.,EMP-0006,2026-08-17,Open
RISK-0031,FAC-003,Chemical Exposure,EQ-0047,,SOP-0007,2,5,10,Medium,Current SOP compliance and PPE use for chemical exposure exposure.,Enhance engineering/administrative controls for chemical exposure at point of work.,EMP-0018,2025-02-10,Closed
RISK-0032,FAC-003,Noise Exposure,EQ-0028,,SOP-0017,4,4,16,High,Current SOP compliance and PPE use for noise exposure exposure.,Enhance engineering/administrative controls for noise exposure at point of work.,EMP-0024,2024-11-11,Open
RISK-0033,FAC-003,Heat Stress,EQ-0043,,SOP-0013,1,4,4,Low,Current SOP compliance and PPE use for heat stress exposure.,Enhance engineering/administrative controls for heat stress at point of work.,EMP-0024,2026-07-25,Open
RISK-0034,FAC-002,Overhead Crane / Rigging Hazard,EQ-0014,,SOP-0009,5,2,10,Medium,Current SOP compliance and PPE use for overhead crane / rigging hazard exposure.,Enhance engineering/administrative controls for overhead crane / rigging hazard at point of work.,EMP-0023,2024-05-29,Open
RISK-0035,FAC-003,Overhead Crane / Rigging Hazard,EQ-0028,,SOP-0009,2,2,4,Low,Current SOP compliance and PPE use for overhead crane / rigging hazard exposure.,Enhance engineering/administrative controls for overhead crane / rigging hazard at point of work.,EMP-0024,2024-08-23,Mitigated
RISK-0036,FAC-001,Heat Stress,EQ-0017,,SOP-0013,3,3,9,Medium,Current SOP compliance and PPE use for heat stress exposure.,Enhance engineering/administrative controls for heat stress at point of work.,EMP-0024,2026-04-21,Mitigated
RISK-0037,FAC-003,Heat Stress,EQ-0043,,SOP-0013,2,3,6,Medium,Current SOP compliance and PPE use for heat stress exposure.,Enhance engineering/administrative controls for heat stress at point of work.,EMP-0018,2024-05-23,Closed
RISK-0038,FAC-002,Forklift / Vehicle Incident,EQ-0050,,SOP-0005,1,5,5,Low,Current SOP compliance and PPE use for forklift / vehicle incident exposure.,Enhance engineering/administrative controls for forklift / vehicle incident at point of work.,EMP-0001,2026-05-09,Closed
RISK-0039,FAC-003,Lockout/Tagout Violation,EQ-0002,,SOP-0001,4,2,8,Medium,Current SOP compliance and PPE use for lockout/tagout violation exposure.,Enhance engineering/administrative controls for lockout/tagout violation at point of work.,EMP-0018,2024-03-10,Closed
RISK-0040,FAC-001,Falling Object / Struck-By,EQ-0017,,SOP-0024,4,3,12,High,Current SOP compliance and PPE use for falling object / struck-by exposure.,Enhance engineering/administrative controls for falling object / struck-by at point of work.,EMP-0001,2025-09-24,Closed
RISK-0041,FAC-003,Heat Stress,EQ-0047,,SOP-0013,1,1,1,Low,Current SOP compliance and PPE use for heat stress exposure.,Enhance engineering/administrative controls for heat stress at point of work.,EMP-0024,2024-01-13,Open
RISK-0042,FAC-003,Fire / Explosion Risk,EQ-0028,,SOP-0014,1,5,5,Low,Current SOP compliance and PPE use for fire / explosion risk exposure.,Enhance engineering/administrative controls for fire / explosion risk at point of work.,EMP-0024,2026-04-05,Closed
RISK-0043,FAC-001,Chemical Exposure,EQ-0044,,SOP-0007,1,5,5,Low,Current SOP compliance and PPE use for chemical exposure exposure.,Enhance engineering/administrative controls for chemical exposure at point of work.,EMP-0004,2024-09-03,Open
RISK-0044,FAC-003,Fire / Explosion Risk,EQ-0031,,SOP-0014,3,4,12,High,Current SOP compliance and PPE use for fire / explosion risk exposure.,Enhance engineering/administrative controls for fire / explosion risk at point of work.,EMP-0018,2025-01-17,Closed
RISK-0045,FAC-002,Ergonomic Strain,EQ-0030,,SOP-0013,3,1,3,Low,Current SOP compliance and PPE use for ergonomic strain exposure.,Enhance engineering/administrative controls for ergonomic strain at point of work.,EMP-0020,2026-05-28,Closed
RISK-0046,FAC-001,Slip/Trip/Fall,EQ-0012,,SOP-0029,4,4,16,High,Current SOP compliance and PPE use for slip/trip/fall exposure.,Enhance engineering/administrative controls for slip/trip/fall at point of work.,EMP-0017,2025-05-02,Open
RISK-0047,FAC-001,Forklift / Vehicle Incident,EQ-0004,,SOP-0005,4,4,16,High,Current SOP compliance and PPE use for forklift / vehicle incident exposure.,Enhance engineering/administrative controls for forklift / vehicle incident at point of work.,EMP-0020,2026-03-14,Open
RISK-0048,FAC-001,Housekeeping / Walkway Obstruction,EQ-0044,,SOP-0024,1,2,2,Low,Current SOP compliance and PPE use for housekeeping / walkway obstruction exposure.,Enhance engineering/administrative controls for housekeeping / walkway obstruction at point of work.,EMP-0006,2026-07-11,Closed
RISK-0049,FAC-003,Heat Stress,EQ-0027,,SOP-0013,1,1,1,Low,Current SOP compliance and PPE use for heat stress exposure.,Enhance engineering/administrative controls for heat stress at point of work.,EMP-0024,2026-07-09,Mitigated
RISK-0050,FAC-003,Lockout/Tagout Violation,EQ-0016,,SOP-0001,3,1,3,Low,Current SOP compliance and PPE use for lockout/tagout violation exposure.,Enhance engineering/administrative controls for lockout/tagout violation at point of work.,EMP-0018,2025-08-24,Open
