incident_id,facility_id,location,incident_datetime,incident_type,description,equipment_id,hazard_id,involved_employee_id,involved_contractor_id,injury_status,potential_consequence,initial_severity,immediate_action,investigation_status,root_cause_category,related_risk_register_id,reported_by_employee_id,reported_at,closure_status,closed_date
INC-0032,FAC-002,"Conveyor System area, FAC-002",2025-06-08 19:45:00,Environmental,Employee reported skin irritation after contact with cleaning solvent near Conveyor System.,EQ-0011,HAZ-0020,,,None,Skin/respiratory irritation or burn,Critical,Spill contained with on-site kit; EHS and environmental compliance notified.,Completed,Time Pressure / Production Pressure,,EMP-0017,2025-06-08 23:45:00,Closed,2025-07-05
INC-0033,FAC-003,"CNC Machining Center area, FAC-003",2025-11-14 12:15:00,Unsafe Condition,Sound level survey near CNC Machining Center exceeded the facility action level without hearing protection in use.,EQ-0030,HAZ-0034,,,None,Hearing loss,Medium,Condition flagged and barricaded pending correction; supervisor notified.,Completed,Equipment Failure,RISK-0034,EMP-0018,2025-11-14 18:15:00,Closed,2025-12-11
INC-0034,FAC-002,"Electrical Distribution Panel area, FAC-002",2025-09-09 09:30:00,Near Miss,Entry was attempted into a confined space near Electrical Distribution Panel without a permit on file.,EQ-0027,HAZ-0036,,CTR-0018,None,Asphyxiation or severe injury,Medium,Work paused; area inspected; supervisor and EHS notified.,Completed,Inadequate Engineering Control,RISK-0015,EMP-0026,2025-09-09 10:30:00,Closed,2025-10-16
INC-0035,FAC-003,"Forklift (Propane) area, FAC-003",2025-09-07 09:15:00,Injury,Employee reported heat exhaustion symptoms working near Forklift (Propane) during a summer shift.,EQ-0004,HAZ-0066,EMP-0018,,First Aid Only,Heat exhaustion or heat stroke,Medium,First aid administered; area secured; supervisor notified.,Completed,Inadequate Training,,EMP-0027,2025-09-07 11:15:00,Closed,2025-10-08
INC-0036,FAC-003,"Overhead Bridge Crane area, FAC-003",2026-08-24 06:45:00,Unsafe Condition,Entry was attempted into a confined space near Overhead Bridge Crane without a permit on file.,EQ-0024,HAZ-0064,,CTR-0004,None,Asphyxiation or severe injury,Medium,Condition flagged and barricaded pending correction; supervisor notified.,Not Started,,RISK-0009,EMP-0015,2026-08-24 12:45:00,Open,
INC-0037,FAC-002,"Electrical Distribution Panel area, FAC-002",2026-08-22 12:15:00,Injury,Employee reported heat exhaustion symptoms working near Electrical Distribution Panel during a summer shift.,EQ-0009,HAZ-0016,EMP-0002,,Minor Injury - Treated Offsite,Heat exhaustion or heat stroke,High,First aid administered; area secured; supervisor notified.,In Progress,,RISK-0021,EMP-0026,2026-08-22 13:15:00,Open,
INC-0038,FAC-003,"electrical hazard / arc flash area, FAC-003",2026-01-24 07:45:00,Near Miss,Exposed wiring was identified on electrical hazard / arc flash during a routine walk-through.,,HAZ-0019,EMP-0006,,None,Electrical shock or arc flash burn,Low,Work paused; area inspected; supervisor and EHS notified.,Completed,Communication Breakdown,RISK-0032,EMP-0006,2026-01-24 11:45:00,Closed,2026-02-13
INC-0039,FAC-002,"Robotic Welding Arm area, FAC-002",2026-04-13 17:30:00,Injury,Employee slipped on a fluid leak near Robotic Welding Arm.,EQ-0018,HAZ-0059,,,Minor Injury - Treated Offsite,"Sprain, fracture, or laceration",Medium,First aid administered; area secured; supervisor notified.,Completed,Inadequate Engineering Control,RISK-0042,EMP-0023,2026-04-13 23:30:00,Closed,2026-05-10
INC-0040,FAC-002,"Electrical Distribution Panel area, FAC-002",2026-06-08 13:45:00,Property Damage,Overheating was detected on Electrical Distribution Panel motor housing; no ignition occurred.,EQ-0027,HAZ-0040,EMP-0011,,None,Burn injury or facility damage,Low,Area secured; damage documented; equipment tagged out of service pending inspection.,Completed,Inadequate Maintenance,RISK-0030,EMP-0002,2026-06-08 13:45:00,Closed,2026-07-10
INC-0041,FAC-001,"Industrial Boiler area, FAC-001",2026-03-05 19:00:00,Injury,Technician on a rolling ladder near Industrial Boiler lost balance briefly while reaching to the side.,EQ-0029,HAZ-0076,,CTR-0016,First Aid Only,Fall injury or fatality,Medium,First aid administered; area secured; supervisor notified.,Completed,Communication Breakdown,RISK-0044,EMP-0007,2026-03-05 22:00:00,Closed,2026-03-29
INC-0042,FAC-001,"Punch Press area, FAC-001",2025-03-02 11:00:00,Injury,Employee reported heat exhaustion symptoms working near Punch Press during a summer shift.,EQ-0001,HAZ-0070,,,First Aid Only,Heat exhaustion or heat stroke,Medium,First aid administered; area secured; supervisor notified.,Completed,Time Pressure / Production Pressure,RISK-0023,EMP-0004,2025-03-02 17:00:00,Closed,2025-03-25
INC-0043,FAC-001,"Ventilation / Dust Collection System area, FAC-001",2026-08-10 16:30:00,Near Miss,Forklift struck a storage rack while maneuvering near Ventilation / Dust Collection System; minor property damage.,EQ-0013,HAZ-0053,EMP-0019,,None,Struck-by injury or property damage,Low,Work paused; area inspected; supervisor and EHS notified.,In Progress,,RISK-0040,EMP-0007,2026-08-10 19:30:00,Open,
INC-0044,FAC-002,"Electrical Distribution Panel area, FAC-002",2026-02-17 20:00:00,Injury,Employee reported heat exhaustion symptoms working near Electrical Distribution Panel during a summer shift.,EQ-0009,HAZ-0016,EMP-0011,,First Aid Only,Heat exhaustion or heat stroke,High,First aid administered; area secured; supervisor notified.,Completed,Human Error,RISK-0021,EMP-0011,2026-02-17 23:00:00,Closed,2026-03-13
INC-0045,FAC-003,"Forklift (Propane) area, FAC-003",2026-03-18 21:00:00,Injury,Employee reported heat exhaustion symptoms working near Forklift (Propane) during a summer shift.,EQ-0004,HAZ-0039,EMP-0006,,First Aid Only,Heat exhaustion or heat stroke,Low,First aid administered; area secured; supervisor notified.,Completed,Inadequate Training,,EMP-0030,2026-03-19 02:00:00,Closed,2026-04-08
INC-0046,FAC-001,"Forklift (Electric) area, FAC-001",2025-09-09 13:45:00,Property Damage,A load shifted unexpectedly while being lifted by Forklift (Electric); operator halted the lift safely.,EQ-0003,HAZ-0074,,,None,Struck-by or crush injury,Low,Area secured; damage documented; equipment tagged out of service pending inspection.,Completed,Human Error,RISK-0035,EMP-0004,2025-09-09 16:45:00,Closed,2025-10-10
INC-0047,FAC-002,"Ventilation / Dust Collection System area, FAC-002",2026-08-18 16:45:00,Injury,Operator reported repetitive strain after an extended shift at Ventilation / Dust Collection System.,EQ-0016,HAZ-0007,EMP-0001,,First Aid Only,Musculoskeletal injury,Low,First aid administered; area secured; supervisor notified.,In Progress,,RISK-0039,EMP-0002,2026-08-18 22:45:00,Open,
INC-0048,FAC-003,"CNC Machining Center area, FAC-003",2025-12-29 21:30:00,Property Damage,Forklift operator narrowly avoided a pedestrian near CNC Machining Center traffic lane.,EQ-0030,HAZ-0011,,,None,Struck-by injury or property damage,High,Area secured; damage documented; equipment tagged out of service pending inspection.,Completed,Design Deficiency,RISK-0020,EMP-0024,2025-12-30 00:30:00,Closed,2026-01-19
INC-0049,FAC-001,"Punch Press area, FAC-001",2026-01-07 13:45:00,Near Miss,Technician opened the electrical panel on Punch Press without confirming de-energization.,EQ-0001,HAZ-0028,,,None,Electrical shock or arc flash burn,Low,Work paused; area inspected; supervisor and EHS notified.,Completed,Equipment Failure,,EMP-0016,2026-01-07 13:45:00,Closed,2026-01-28
INC-0050,FAC-001,"Pressure Vessel / Tank area, FAC-001",2025-10-21 18:00:00,Near Miss,Technician began servicing Pressure Vessel / Tank before verifying zero energy state.,EQ-0023,HAZ-0071,,CTR-0004,None,Severe injury during equipment servicing,Low,Work paused; area inspected; supervisor and EHS notified.,Completed,Procedural Non-Compliance,RISK-0010,EMP-0019,2025-10-21 18:00:00,Closed,2025-11-22
INC-0051,FAC-002,"Electrical Distribution Panel area, FAC-002",2025-10-23 09:15:00,Near Miss,A component fell from overhead storage near Electrical Distribution Panel.,EQ-0027,HAZ-0033,,,None,Head or upper body injury,Low,Work paused; area inspected; supervisor and EHS notified.,Completed,Design Deficiency,RISK-0013,EMP-0011,2025-10-23 12:15:00,Closed,2025-11-14
INC-0052,FAC-003,"chemical exposure area, FAC-003",2026-02-08 20:00:00,Environmental,Small chemical splash occurred during transfer near chemical exposure; PPE limited exposure.,,HAZ-0067,EMP-0012,,None,Skin/respiratory irritation or burn,Low,Spill contained with on-site kit; EHS and environmental compliance notified.,Completed,Inadequate Training,RISK-0031,EMP-0003,2026-02-08 21:00:00,Closed,2026-03-04
INC-0053,FAC-001,"Ventilation / Dust Collection System area, FAC-001",2026-02-22 07:15:00,Property Damage,Hydraulic fluid leak from Ventilation / Dust Collection System reached the floor drain before containment.,EQ-0010,HAZ-0008,EMP-0016,,None,Environmental contamination,Medium,Area secured; damage documented; equipment tagged out of service pending inspection.,Completed,Inadequate Maintenance,,EMP-0028,2026-02-22 10:15:00,Closed,2026-03-23
INC-0054,FAC-002,"Electrical Distribution Panel area, FAC-002",2026-01-07 22:15:00,Near Miss,Employee's sleeve caught briefly on a moving component of Electrical Distribution Panel.,EQ-0027,HAZ-0050,EMP-0011,,None,Crush injury or amputation,Medium,Work paused; area inspected; supervisor and EHS notified.,Completed,Inadequate Engineering Control,RISK-0026,EMP-0029,2026-01-08 04:15:00,Closed,2026-02-14
INC-0055,FAC-002,"Electrical Distribution Panel area, FAC-002",2025-05-12 13:15:00,Near Miss,Worker's hand came close to a nip point on Electrical Distribution Panel while clearing a jam.,EQ-0027,HAZ-0050,EMP-0005,,None,Crush injury or amputation,Low,Work paused; area inspected; supervisor and EHS notified.,Completed,Communication Breakdown,RISK-0026,EMP-0008,2025-05-12 15:15:00,Closed,2025-06-01
INC-0056,FAC-002,"Electrical Distribution Panel area, FAC-002",2025-08-07 20:30:00,Injury,Employee's sleeve caught briefly on a moving component of Electrical Distribution Panel.,EQ-0027,HAZ-0050,EMP-0020,,Minor Injury - Treated Offsite,Crush injury or amputation,Low,First aid administered; area secured; supervisor notified.,Completed,Inadequate Maintenance,RISK-0026,EMP-0011,2025-08-07 20:30:00,Closed,2025-09-08
INC-0057,FAC-002,"Air Compressor area, FAC-002",2026-07-25 17:45:00,Near Miss,Worker tripped over an unsecured cable near Air Compressor.,EQ-0005,HAZ-0018,,,None,"Sprain, fracture, or laceration",Medium,Work paused; area inspected; supervisor and EHS notified.,Completed,Design Deficiency,,EMP-0014,2026-07-25 19:45:00,Closed,2026-08-25
INC-0058,FAC-001,"Ventilation / Dust Collection System area, FAC-001",2026-02-16 15:00:00,Unsafe Condition,Sound level survey near Ventilation / Dust Collection System exceeded the facility action level without hearing protection in use.,EQ-0013,HAZ-0013,EMP-0010,,None,Hearing loss,High,Condition flagged and barricaded pending correction; supervisor notified.,Completed,Procedural Non-Compliance,RISK-0017,EMP-0007,2026-02-16 19:00:00,Closed,2026-03-28
INC-0059,FAC-001,"Overhead Bridge Crane area, FAC-001",2025-12-01 22:30:00,Injury,Employee reported heat exhaustion symptoms working near Overhead Bridge Crane during a summer shift.,EQ-0022,HAZ-0031,,,Minor Injury - Treated Offsite,Heat exhaustion or heat stroke,Low,First aid administered; area secured; supervisor notified.,Completed,Inadequate Training,,EMP-0010,2025-12-02 02:30:00,Closed,2025-12-28
INC-0060,FAC-002,"housekeeping / walkway obstruction area, FAC-002",2026-03-21 13:15:00,Near Miss,Pallets stored in the designated walkway near housekeeping / walkway obstruction created an obstruction.,,HAZ-0009,EMP-0008,,None,"Slip, trip, or fall injury",Medium,Work paused; area inspected; supervisor and EHS notified.,Completed,Human Error,RISK-0012,EMP-0020,2026-03-21 17:15:00,Closed,2026-04-27
INC-0061,FAC-001,"electrical hazard / arc flash area, FAC-001",2026-06-27 06:45:00,Near Miss,Technician opened the electrical panel on electrical hazard / arc flash without confirming de-energization.,,HAZ-0019,EMP-0028,,None,Electrical shock or arc flash burn,Low,Work paused; area inspected; supervisor and EHS notified.,Completed,Inadequate Engineering Control,RISK-0032,EMP-0004,2026-06-27 07:45:00,Closed,2026-08-05
INC-0062,FAC-002,"Robotic Welding Arm area, FAC-002",2026-05-28 10:00:00,Injury,Worker was struck by an ejected part from Robotic Welding Arm during operation.,EQ-0018,HAZ-0017,EMP-0026,,Minor Injury - Treated Offsite,Head or upper body injury,Low,First aid administered; area secured; supervisor notified.,Completed,Communication Breakdown,,EMP-0020,2026-05-28 10:00:00,Closed,2026-07-02
INC-0063,FAC-001,"heat stress area, FAC-001",2025-01-06 20:00:00,Injury,Employee reported heat exhaustion symptoms working near heat stress during a summer shift.,,HAZ-0031,EMP-0013,,Recordable Injury,Heat exhaustion or heat stroke,Medium,First aid administered; area secured; supervisor notified.,Completed,Communication Breakdown,,EMP-0004,2025-01-06 20:00:00,Closed,2025-02-14
INC-0064,FAC-002,"Robotic Welding Arm area, FAC-002",2025-10-12 15:15:00,Injury,Employee reported heat exhaustion symptoms working near Robotic Welding Arm during a summer shift.,EQ-0018,HAZ-0056,EMP-0029,,Minor Injury - Treated Offsite,Heat exhaustion or heat stroke,Medium,First aid administered; area secured; supervisor notified.,Completed,Design Deficiency,RISK-0025,EMP-0002,2025-10-12 17:15:00,Closed,2025-11-15
INC-0065,FAC-002,"ergonomic strain area, FAC-002",2026-02-27 07:30:00,Injury,Employee reported lower back strain after repetitive lifting at the ergonomic strain station.,,HAZ-0072,EMP-0008,,First Aid Only,Musculoskeletal injury,Low,First aid administered; area secured; supervisor notified.,Completed,Human Error,,EMP-0011,2026-02-27 13:30:00,Closed,2026-03-30
INC-0066,FAC-001,"Ventilation / Dust Collection System area, FAC-001",2025-01-27 06:30:00,Environmental,Coolant leak from Ventilation / Dust Collection System required an environmental spill response.,EQ-0010,HAZ-0008,EMP-0016,,None,Environmental contamination,Medium,Spill contained with on-site kit; EHS and environmental compliance notified.,Completed,Inadequate Engineering Control,,EMP-0019,2025-01-27 12:30:00,Closed,2025-02-16
INC-0067,FAC-003,"housekeeping / walkway obstruction area, FAC-003",2025-05-08 16:45:00,Near Miss,Debris accumulation near housekeeping / walkway obstruction partially blocked an emergency egress path.,,HAZ-0009,EMP-0006,,None,"Slip, trip, or fall injury",Low,Work paused; area inspected; supervisor and EHS notified.,Completed,Inadequate Training,RISK-0012,EMP-0018,2025-05-08 19:45:00,Closed,2025-06-08
INC-0068,FAC-001,"Standby Generator area, FAC-001",2026-09-02 12:45:00,Near Miss,Technician opened the electrical panel on Standby Generator without confirming de-energization.,EQ-0021,HAZ-0019,EMP-0022,,None,Electrical shock or arc flash burn,High,Work paused; area inspected; supervisor and EHS notified.,Not Started,,RISK-0032,EMP-0004,2026-09-02 14:45:00,Open,
INC-0069,FAC-003,"Conveyor System area, FAC-003",2025-10-10 17:15:00,Property Damage,Coolant leak from Conveyor System required an environmental spill response.,EQ-0006,HAZ-0051,EMP-0009,,None,Environmental contamination,Low,Area secured; damage documented; equipment tagged out of service pending inspection.,Completed,Procedural Non-Compliance,RISK-0033,EMP-0024,2025-10-10 22:15:00,Closed,2025-11-01
INC-0070,FAC-003,"CNC Machining Center area, FAC-003",2025-08-10 10:00:00,Near Miss,Relief valve on CNC Machining Center activated unexpectedly during startup.,EQ-0030,HAZ-0023,,,None,Blast injury or equipment damage,High,Work paused; area inspected; supervisor and EHS notified.,Completed,Inadequate Training,,EMP-0018,2025-08-10 15:00:00,Closed,2025-09-04
INC-0071,FAC-002,"Electrical Distribution Panel area, FAC-002",2026-06-08 06:00:00,Unsafe Condition,Sound level survey near Electrical Distribution Panel exceeded the facility action level without hearing protection in use.,EQ-0027,HAZ-0014,EMP-0023,,None,Hearing loss,High,Condition flagged and barricaded pending correction; supervisor notified.,Completed,Human Error,,EMP-0014,2026-06-08 10:00:00,Closed,2026-07-16
