risk_assessment_id,hazard_id,facility_id,equipment_id,source_incident_id,assessment_date,assessed_by_employee_id,likelihood,severity,raw_score,control_effectiveness_rating,control_effectiveness_factor,recurrence_count_trailing_12mo,recurrence_factor,trend,trend_factor,adjusted_score,risk_level,methodology_notes,status
RA-0011,HAZ-0021,FAC-003,EQ-0004,,2025-12-29,EMP-0009,1,5,5,Not Assessed,1.0,0,1.0,Stable,1.0,5.0,Low,"raw_score = likelihood(1) x severity(5) = 5. control_effectiveness_factor=1.0 (rating: Not Assessed). recurrence_factor=1.0 (0 incidents trailing 12mo). trend_factor=1.0 (trend: Stable). adjusted_score = 5 x 1.0 x 1.0 x 1.0 = 5.0, clipped to [0,25].",Current
RA-0012,HAZ-0038,FAC-002,EQ-0012,,2025-11-07,EMP-0003,1,3,3,Not Assessed,1.0,0,1.0,Stable,1.0,3.0,Low,"raw_score = likelihood(1) x severity(3) = 3. control_effectiveness_factor=1.0 (rating: Not Assessed). recurrence_factor=1.0 (0 incidents trailing 12mo). trend_factor=1.0 (trend: Stable). adjusted_score = 3 x 1.0 x 1.0 x 1.0 = 3.0, clipped to [0,25].",Current
RA-0013,HAZ-0063,FAC-002,EQ-0016,,2026-05-14,EMP-0009,2,4,8,Partially Effective,0.85,1,1.15,Decreasing,0.9,7.0,Medium,"raw_score = likelihood(2) x severity(4) = 8. control_effectiveness_factor=0.85 (rating: Partially Effective). recurrence_factor=1.15 (1 incidents trailing 12mo). trend_factor=0.9 (trend: Decreasing). adjusted_score = 8 x 0.85 x 1.15 x 0.9 = 7.0, clipped to [0,25].",Current
RA-0014,HAZ-0059,FAC-002,EQ-0018,,2026-07-15,EMP-0004,2,2,4,Ineffective,1.0,1,1.15,Increasing,1.1,5.1,Low,"raw_score = likelihood(2) x severity(2) = 4. control_effectiveness_factor=1.0 (rating: Ineffective). recurrence_factor=1.15 (1 incidents trailing 12mo). trend_factor=1.1 (trend: Increasing). adjusted_score = 4 x 1.0 x 1.15 x 1.1 = 5.1, clipped to [0,25].",Current
RA-0015,HAZ-0054,FAC-003,,,2026-01-27,EMP-0009,1,4,4,Not Assessed,1.0,0,1.0,Stable,1.0,4.0,Low,"raw_score = likelihood(1) x severity(4) = 4. control_effectiveness_factor=1.0 (rating: Not Assessed). recurrence_factor=1.0 (0 incidents trailing 12mo). trend_factor=1.0 (trend: Stable). adjusted_score = 4 x 1.0 x 1.0 x 1.0 = 4.0, clipped to [0,25].",Current
RA-0016,HAZ-0029,FAC-002,,,2025-06-21,EMP-0004,2,2,4,Not Assessed,1.0,1,1.15,Increasing,1.1,5.1,Low,"raw_score = likelihood(2) x severity(2) = 4. control_effectiveness_factor=1.0 (rating: Not Assessed). recurrence_factor=1.15 (1 incidents trailing 12mo). trend_factor=1.1 (trend: Increasing). adjusted_score = 4 x 1.0 x 1.15 x 1.1 = 5.1, clipped to [0,25].",Current
RA-0017,HAZ-0011,FAC-003,,,2025-10-17,EMP-0004,1,4,4,Not Assessed,1.0,0,1.0,Stable,1.0,4.0,Low,"raw_score = likelihood(1) x severity(4) = 4. control_effectiveness_factor=1.0 (rating: Not Assessed). recurrence_factor=1.0 (0 incidents trailing 12mo). trend_factor=1.0 (trend: Stable). adjusted_score = 4 x 1.0 x 1.0 x 1.0 = 4.0, clipped to [0,25].",Current
RA-0018,HAZ-0074,FAC-001,EQ-0003,,2026-02-26,EMP-0013,3,4,12,Not Assessed,1.0,2,1.15,Increasing,1.1,15.2,High,"raw_score = likelihood(3) x severity(4) = 12. control_effectiveness_factor=1.0 (rating: Not Assessed). recurrence_factor=1.15 (2 incidents trailing 12mo). trend_factor=1.1 (trend: Increasing). adjusted_score = 12 x 1.0 x 1.15 x 1.1 = 15.2, clipped to [0,25].",Current
RA-0019,HAZ-0070,FAC-001,EQ-0001,,2025-11-19,EMP-0009,2,2,4,Not Assessed,1.0,1,1.15,Decreasing,0.9,4.1,Low,"raw_score = likelihood(2) x severity(2) = 4. control_effectiveness_factor=1.0 (rating: Not Assessed). recurrence_factor=1.15 (1 incidents trailing 12mo). trend_factor=0.9 (trend: Decreasing). adjusted_score = 4 x 1.0 x 1.15 x 0.9 = 4.1, clipped to [0,25].",Current
RA-0020,HAZ-0012,FAC-002,,,2025-03-02,EMP-0004,1,3,3,Not Assessed,1.0,0,1.0,Stable,1.0,3.0,Low,"raw_score = likelihood(1) x severity(3) = 3. control_effectiveness_factor=1.0 (rating: Not Assessed). recurrence_factor=1.0 (0 incidents trailing 12mo). trend_factor=1.0 (trend: Stable). adjusted_score = 3 x 1.0 x 1.0 x 1.0 = 3.0, clipped to [0,25].",Current
RA-0021,HAZ-0032,FAC-003,EQ-0006,,2025-10-12,EMP-0013,1,4,4,Not Assessed,1.0,0,1.0,Stable,1.0,4.0,Low,"raw_score = likelihood(1) x severity(4) = 4. control_effectiveness_factor=1.0 (rating: Not Assessed). recurrence_factor=1.0 (0 incidents trailing 12mo). trend_factor=1.0 (trend: Stable). adjusted_score = 4 x 1.0 x 1.0 x 1.0 = 4.0, clipped to [0,25].",Current
RA-0022,HAZ-0026,FAC-002,EQ-0009,,2026-04-07,EMP-0013,2,3,6,Not Assessed,1.0,1,1.15,Decreasing,0.9,6.2,Medium,"raw_score = likelihood(2) x severity(3) = 6. control_effectiveness_factor=1.0 (rating: Not Assessed). recurrence_factor=1.15 (1 incidents trailing 12mo). trend_factor=0.9 (trend: Decreasing). adjusted_score = 6 x 1.0 x 1.15 x 0.9 = 6.2, clipped to [0,25].",Current
RA-0023,HAZ-0016,FAC-002,EQ-0009,,2025-10-18,EMP-0013,1,2,2,Not Assessed,1.0,0,1.0,Stable,1.0,2.0,Low,"raw_score = likelihood(1) x severity(2) = 2. control_effectiveness_factor=1.0 (rating: Not Assessed). recurrence_factor=1.0 (0 incidents trailing 12mo). trend_factor=1.0 (trend: Stable). adjusted_score = 2 x 1.0 x 1.0 x 1.0 = 2.0, clipped to [0,25].",Current
RA-0024,HAZ-0060,FAC-001,,,2026-03-11,EMP-0007,1,2,2,Not Assessed,1.0,0,1.0,Stable,1.0,2.0,Low,"raw_score = likelihood(1) x severity(2) = 2. control_effectiveness_factor=1.0 (rating: Not Assessed). recurrence_factor=1.0 (0 incidents trailing 12mo). trend_factor=1.0 (trend: Stable). adjusted_score = 2 x 1.0 x 1.0 x 1.0 = 2.0, clipped to [0,25].",Current
RA-0025,HAZ-0036,FAC-002,EQ-0027,,2025-08-12,EMP-0009,1,5,5,Not Assessed,1.0,0,1.0,Stable,1.0,5.0,Low,"raw_score = likelihood(1) x severity(5) = 5. control_effectiveness_factor=1.0 (rating: Not Assessed). recurrence_factor=1.0 (0 incidents trailing 12mo). trend_factor=1.0 (trend: Stable). adjusted_score = 5 x 1.0 x 1.0 x 1.0 = 5.0, clipped to [0,25].",Current
RA-0026,HAZ-0009,FAC-002,,,2025-06-23,EMP-0004,2,2,4,Not Assessed,1.0,1,1.15,Increasing,1.1,5.1,Low,"raw_score = likelihood(2) x severity(2) = 4. control_effectiveness_factor=1.0 (rating: Not Assessed). recurrence_factor=1.15 (1 incidents trailing 12mo). trend_factor=1.1 (trend: Increasing). adjusted_score = 4 x 1.0 x 1.15 x 1.1 = 5.1, clipped to [0,25].",Current
RA-0027,HAZ-0050,FAC-002,EQ-0027,,2025-12-19,EMP-0002,4,4,16,Not Assessed,1.0,4,1.3,Decreasing,0.9,18.7,High,"raw_score = likelihood(4) x severity(4) = 16. control_effectiveness_factor=1.0 (rating: Not Assessed). recurrence_factor=1.3 (4 incidents trailing 12mo). trend_factor=0.9 (trend: Decreasing). adjusted_score = 16 x 1.0 x 1.3 x 0.9 = 18.7, clipped to [0,25].",Current
RA-0028,HAZ-0062,FAC-002,EQ-0027,,2026-07-01,EMP-0007,3,2,6,Partially Effective,0.85,2,1.15,Stable,1.0,5.9,Low,"raw_score = likelihood(3) x severity(2) = 6. control_effectiveness_factor=0.85 (rating: Partially Effective). recurrence_factor=1.15 (2 incidents trailing 12mo). trend_factor=1.0 (trend: Stable). adjusted_score = 6 x 0.85 x 1.15 x 1.0 = 5.9, clipped to [0,25].",Current
RA-0029,HAZ-0040,FAC-002,EQ-0027,,2026-02-18,EMP-0007,1,4,4,Not Assessed,1.0,0,1.0,Stable,1.0,4.0,Low,"raw_score = likelihood(1) x severity(4) = 4. control_effectiveness_factor=1.0 (rating: Not Assessed). recurrence_factor=1.0 (0 incidents trailing 12mo). trend_factor=1.0 (trend: Stable). adjusted_score = 4 x 1.0 x 1.0 x 1.0 = 4.0, clipped to [0,25].",Current
RA-0030,HAZ-0030,FAC-002,,,2025-08-02,EMP-0003,1,2,2,Effective,0.6,0,1.0,Stable,1.0,1.2,Low,"raw_score = likelihood(1) x severity(2) = 2. control_effectiveness_factor=0.6 (rating: Effective). recurrence_factor=1.0 (0 incidents trailing 12mo). trend_factor=1.0 (trend: Stable). adjusted_score = 2 x 0.6 x 1.0 x 1.0 = 1.2, clipped to [0,25].",Current
RA-0031,HAZ-0067,FAC-003,,,2026-02-19,EMP-0002,2,3,6,Effective,0.6,1,1.15,Increasing,1.1,4.6,Low,"raw_score = likelihood(2) x severity(3) = 6. control_effectiveness_factor=0.6 (rating: Effective). recurrence_factor=1.15 (1 incidents trailing 12mo). trend_factor=1.1 (trend: Increasing). adjusted_score = 6 x 0.6 x 1.15 x 1.1 = 4.6, clipped to [0,25].",Current
RA-0032,HAZ-0015,FAC-001,EQ-0007,,2025-11-26,EMP-0002,1,4,4,Not Assessed,1.0,0,1.0,Stable,1.0,4.0,Low,"raw_score = likelihood(1) x severity(4) = 4. control_effectiveness_factor=1.0 (rating: Not Assessed). recurrence_factor=1.0 (0 incidents trailing 12mo). trend_factor=1.0 (trend: Stable). adjusted_score = 4 x 1.0 x 1.0 x 1.0 = 4.0, clipped to [0,25].",Current
RA-0033,HAZ-0007,FAC-002,,,2026-05-15,EMP-0002,1,2,2,Not Assessed,1.0,0,1.0,Stable,1.0,2.0,Low,"raw_score = likelihood(1) x severity(2) = 2. control_effectiveness_factor=1.0 (rating: Not Assessed). recurrence_factor=1.0 (0 incidents trailing 12mo). trend_factor=1.0 (trend: Stable). adjusted_score = 2 x 1.0 x 1.0 x 1.0 = 2.0, clipped to [0,25].",Current
RA-0034,HAZ-0064,FAC-003,EQ-0024,,2025-05-28,EMP-0002,1,5,5,Not Assessed,1.0,0,1.0,Stable,1.0,5.0,Low,"raw_score = likelihood(1) x severity(5) = 5. control_effectiveness_factor=1.0 (rating: Not Assessed). recurrence_factor=1.0 (0 incidents trailing 12mo). trend_factor=1.0 (trend: Stable). adjusted_score = 5 x 1.0 x 1.0 x 1.0 = 5.0, clipped to [0,25].",Current
RA-0035,HAZ-0052,FAC-002,EQ-0020,,2025-03-19,EMP-0007,1,4,4,Not Assessed,1.0,0,1.0,Stable,1.0,4.0,Low,"raw_score = likelihood(1) x severity(4) = 4. control_effectiveness_factor=1.0 (rating: Not Assessed). recurrence_factor=1.0 (0 incidents trailing 12mo). trend_factor=1.0 (trend: Stable). adjusted_score = 4 x 1.0 x 1.0 x 1.0 = 4.0, clipped to [0,25].",Current
RA-0036,HAZ-0019,FAC-001,,,2026-02-20,EMP-0009,2,4,8,Partially Effective,0.85,1,1.15,Increasing,1.1,8.6,Medium,"raw_score = likelihood(2) x severity(4) = 8. control_effectiveness_factor=0.85 (rating: Partially Effective). recurrence_factor=1.15 (1 incidents trailing 12mo). trend_factor=1.1 (trend: Increasing). adjusted_score = 8 x 0.85 x 1.15 x 1.1 = 8.6, clipped to [0,25].",Current
RA-0037,HAZ-0056,FAC-002,EQ-0018,,2025-12-10,EMP-0007,2,2,4,Not Assessed,1.0,1,1.15,Increasing,1.1,5.1,Low,"raw_score = likelihood(2) x severity(2) = 4. control_effectiveness_factor=1.0 (rating: Not Assessed). recurrence_factor=1.15 (1 incidents trailing 12mo). trend_factor=1.1 (trend: Increasing). adjusted_score = 4 x 1.0 x 1.15 x 1.1 = 5.1, clipped to [0,25].",Current
RA-0038,HAZ-0022,FAC-001,EQ-0015,,2026-02-15,EMP-0009,1,4,4,Partially Effective,0.85,0,1.0,Stable,1.0,3.4,Low,"raw_score = likelihood(1) x severity(4) = 4. control_effectiveness_factor=0.85 (rating: Partially Effective). recurrence_factor=1.0 (0 incidents trailing 12mo). trend_factor=1.0 (trend: Stable). adjusted_score = 4 x 0.85 x 1.0 x 1.0 = 3.4, clipped to [0,25].",Current
RA-0039,HAZ-0027,FAC-003,EQ-0004,,2025-04-29,EMP-0002,1,3,3,Not Assessed,1.0,0,1.0,Stable,1.0,3.0,Low,"raw_score = likelihood(1) x severity(3) = 3. control_effectiveness_factor=1.0 (rating: Not Assessed). recurrence_factor=1.0 (0 incidents trailing 12mo). trend_factor=1.0 (trend: Stable). adjusted_score = 3 x 1.0 x 1.0 x 1.0 = 3.0, clipped to [0,25].",Current
RA-0040,HAZ-0051,FAC-003,EQ-0006,,2026-02-24,EMP-0007,2,3,6,Not Assessed,1.0,1,1.15,Increasing,1.1,7.6,Medium,"raw_score = likelihood(2) x severity(3) = 6. control_effectiveness_factor=1.0 (rating: Not Assessed). recurrence_factor=1.15 (1 incidents trailing 12mo). trend_factor=1.1 (trend: Increasing). adjusted_score = 6 x 1.0 x 1.15 x 1.1 = 7.6, clipped to [0,25].",Current
RA-0041,HAZ-0057,FAC-002,EQ-0012,,2025-03-26,EMP-0007,1,2,2,Not Assessed,1.0,0,1.0,Stable,1.0,2.0,Low,"raw_score = likelihood(1) x severity(2) = 2. control_effectiveness_factor=1.0 (rating: Not Assessed). recurrence_factor=1.0 (0 incidents trailing 12mo). trend_factor=1.0 (trend: Stable). adjusted_score = 2 x 1.0 x 1.0 x 1.0 = 2.0, clipped to [0,25].",Current
RA-0042,HAZ-0033,FAC-002,,,2025-07-09,EMP-0003,1,3,3,Not Assessed,1.0,0,1.0,Stable,1.0,3.0,Low,"raw_score = likelihood(1) x severity(3) = 3. control_effectiveness_factor=1.0 (rating: Not Assessed). recurrence_factor=1.0 (0 incidents trailing 12mo). trend_factor=1.0 (trend: Stable). adjusted_score = 3 x 1.0 x 1.0 x 1.0 = 3.0, clipped to [0,25].",Current
RA-0043,HAZ-0013,FAC-001,EQ-0013,,2025-09-13,EMP-0002,1,2,2,Not Assessed,1.0,0,1.0,Stable,1.0,2.0,Low,"raw_score = likelihood(1) x severity(2) = 2. control_effectiveness_factor=1.0 (rating: Not Assessed). recurrence_factor=1.0 (0 incidents trailing 12mo). trend_factor=1.0 (trend: Stable). adjusted_score = 2 x 1.0 x 1.0 x 1.0 = 2.0, clipped to [0,25].",Current
RA-0044,HAZ-0034,FAC-003,,,2026-02-24,EMP-0002,2,2,4,Not Assessed,1.0,1,1.15,Increasing,1.1,5.1,Low,"raw_score = likelihood(2) x severity(2) = 4. control_effectiveness_factor=1.0 (rating: Not Assessed). recurrence_factor=1.15 (1 incidents trailing 12mo). trend_factor=1.1 (trend: Increasing). adjusted_score = 4 x 1.0 x 1.15 x 1.1 = 5.1, clipped to [0,25].",Current
RA-0045,HAZ-0075,FAC-002,,,2025-05-06,EMP-0009,1,4,4,Not Assessed,1.0,0,1.0,Stable,1.0,4.0,Low,"raw_score = likelihood(1) x severity(4) = 4. control_effectiveness_factor=1.0 (rating: Not Assessed). recurrence_factor=1.0 (0 incidents trailing 12mo). trend_factor=1.0 (trend: Stable). adjusted_score = 4 x 1.0 x 1.0 x 1.0 = 4.0, clipped to [0,25].",Current
RA-0046,HAZ-0042,FAC-003,EQ-0006,,2025-03-02,EMP-0002,1,2,2,Not Assessed,1.0,0,1.0,Stable,1.0,2.0,Low,"raw_score = likelihood(1) x severity(2) = 2. control_effectiveness_factor=1.0 (rating: Not Assessed). recurrence_factor=1.0 (0 incidents trailing 12mo). trend_factor=1.0 (trend: Stable). adjusted_score = 2 x 1.0 x 1.0 x 1.0 = 2.0, clipped to [0,25].",Current
RA-0047,HAZ-0053,FAC-001,EQ-0013,,2026-06-25,EMP-0004,2,4,8,Not Assessed,1.0,1,1.15,Decreasing,0.9,8.3,Medium,"raw_score = likelihood(2) x severity(4) = 8. control_effectiveness_factor=1.0 (rating: Not Assessed). recurrence_factor=1.15 (1 incidents trailing 12mo). trend_factor=0.9 (trend: Decreasing). adjusted_score = 8 x 1.0 x 1.15 x 0.9 = 8.3, clipped to [0,25].",Current
RA-0048,HAZ-0071,FAC-001,,,2025-06-02,EMP-0009,1,4,4,Not Assessed,1.0,0,1.0,Stable,1.0,4.0,Low,"raw_score = likelihood(1) x severity(4) = 4. control_effectiveness_factor=1.0 (rating: Not Assessed). recurrence_factor=1.0 (0 incidents trailing 12mo). trend_factor=1.0 (trend: Stable). adjusted_score = 4 x 1.0 x 1.0 x 1.0 = 4.0, clipped to [0,25].",Current
RA-0049,HAZ-0069,FAC-002,EQ-0016,,2025-10-16,EMP-0007,1,4,4,Effective,0.6,0,1.0,Stable,1.0,2.4,Low,"raw_score = likelihood(1) x severity(4) = 4. control_effectiveness_factor=0.6 (rating: Effective). recurrence_factor=1.0 (0 incidents trailing 12mo). trend_factor=1.0 (trend: Stable). adjusted_score = 4 x 0.6 x 1.0 x 1.0 = 2.4, clipped to [0,25].",Current
RA-0050,HAZ-0010,FAC-001,EQ-0025,,2025-03-17,EMP-0004,1,2,2,Not Assessed,1.0,0,1.0,Stable,1.0,2.0,Low,"raw_score = likelihood(1) x severity(2) = 2. control_effectiveness_factor=1.0 (rating: Not Assessed). recurrence_factor=1.0 (0 incidents trailing 12mo). trend_factor=1.0 (trend: Stable). adjusted_score = 2 x 1.0 x 1.0 x 1.0 = 2.0, clipped to [0,25].",Current
RA-0051,HAZ-0079,FAC-004,,,2025-09-11,EMP-0009,1,4,4,Not Assessed,1.0,0,1.0,Stable,1.0,4.0,Low,"raw_score = likelihood(1) x severity(4) = 4. control_effectiveness_factor=1.0 (rating: Not Assessed). recurrence_factor=1.0 (0 incidents trailing 12mo). trend_factor=1.0 (trend: Stable). adjusted_score = 4 x 1.0 x 1.0 x 1.0 = 4.0, clipped to [0,25].",Current
RA-0052,HAZ-0080,FAC-004,,,2025-08-27,EMP-0039,1,2,2,Not Assessed,1.0,0,1.0,Stable,1.0,2.0,Low,"raw_score = likelihood(1) x severity(2) = 2. control_effectiveness_factor=1.0 (rating: Not Assessed). recurrence_factor=1.0 (0 incidents trailing 12mo). trend_factor=1.0 (trend: Stable). adjusted_score = 2 x 1.0 x 1.0 x 1.0 = 2.0, clipped to [0,25].",Current
RA-0053,HAZ-0081,FAC-004,EQ-0033,,2025-06-14,EMP-0056,1,4,4,Not Assessed,1.0,0,1.0,Stable,1.0,4.0,Low,"raw_score = likelihood(1) x severity(4) = 4. control_effectiveness_factor=1.0 (rating: Not Assessed). recurrence_factor=1.0 (0 incidents trailing 12mo). trend_factor=1.0 (trend: Stable). adjusted_score = 4 x 1.0 x 1.0 x 1.0 = 4.0, clipped to [0,25].",Current
RA-0054,HAZ-0082,FAC-004,EQ-0036,,2025-09-26,EMP-0007,2,2,4,Partially Effective,0.85,1,1.15,Increasing,1.1,4.3,Low,"raw_score = likelihood(2) x severity(2) = 4. control_effectiveness_factor=0.85 (rating: Partially Effective). recurrence_factor=1.15 (1 incidents trailing 12mo). trend_factor=1.1 (trend: Increasing). adjusted_score = 4 x 0.85 x 1.15 x 1.1 = 4.3, clipped to [0,25].",Current
RA-0055,HAZ-0083,FAC-004,,,2025-06-18,EMP-0003,2,4,8,Not Assessed,1.0,1,1.15,Increasing,1.1,10.1,Medium,"raw_score = likelihood(2) x severity(4) = 8. control_effectiveness_factor=1.0 (rating: Not Assessed). recurrence_factor=1.15 (1 incidents trailing 12mo). trend_factor=1.1 (trend: Increasing). adjusted_score = 8 x 1.0 x 1.15 x 1.1 = 10.1, clipped to [0,25].",Current
RA-0056,HAZ-0084,FAC-004,EQ-0039,,2026-01-28,EMP-0031,2,4,8,Not Assessed,1.0,1,1.15,Increasing,1.1,10.1,Medium,"raw_score = likelihood(2) x severity(4) = 8. control_effectiveness_factor=1.0 (rating: Not Assessed). recurrence_factor=1.15 (1 incidents trailing 12mo). trend_factor=1.1 (trend: Increasing). adjusted_score = 8 x 1.0 x 1.15 x 1.1 = 10.1, clipped to [0,25].",Current
RA-0057,HAZ-0085,FAC-004,,,2025-11-05,EMP-0004,1,3,3,Effective,0.6,0,1.0,Stable,1.0,1.8,Low,"raw_score = likelihood(1) x severity(3) = 3. control_effectiveness_factor=0.6 (rating: Effective). recurrence_factor=1.0 (0 incidents trailing 12mo). trend_factor=1.0 (trend: Stable). adjusted_score = 3 x 0.6 x 1.0 x 1.0 = 1.8, clipped to [0,25].",Current
RA-0058,HAZ-0086,FAC-004,,,2025-07-23,EMP-0007,1,2,2,Not Assessed,1.0,0,1.0,Stable,1.0,2.0,Low,"raw_score = likelihood(1) x severity(2) = 2. control_effectiveness_factor=1.0 (rating: Not Assessed). recurrence_factor=1.0 (0 incidents trailing 12mo). trend_factor=1.0 (trend: Stable). adjusted_score = 2 x 1.0 x 1.0 x 1.0 = 2.0, clipped to [0,25].",Current
RA-0059,HAZ-0087,FAC-004,,,2025-11-20,EMP-0009,3,5,15,Not Assessed,1.0,2,1.15,Stable,1.0,17.2,High,"raw_score = likelihood(3) x severity(5) = 15. control_effectiveness_factor=1.0 (rating: Not Assessed). recurrence_factor=1.15 (2 incidents trailing 12mo). trend_factor=1.0 (trend: Stable). adjusted_score = 15 x 1.0 x 1.15 x 1.0 = 17.2, clipped to [0,25].",Current
RA-0060,HAZ-0088,FAC-004,,,2026-02-24,EMP-0041,3,4,12,Partially Effective,0.85,2,1.15,Increasing,1.1,12.9,High,"raw_score = likelihood(3) x severity(4) = 12. control_effectiveness_factor=0.85 (rating: Partially Effective). recurrence_factor=1.15 (2 incidents trailing 12mo). trend_factor=1.1 (trend: Increasing). adjusted_score = 12 x 0.85 x 1.15 x 1.1 = 12.9, clipped to [0,25].",Current
RA-0061,HAZ-0089,FAC-004,,,2026-08-27,EMP-0007,1,4,4,Effective,0.6,0,1.0,Stable,1.0,2.4,Low,"raw_score = likelihood(1) x severity(4) = 4. control_effectiveness_factor=0.6 (rating: Effective). recurrence_factor=1.0 (0 incidents trailing 12mo). trend_factor=1.0 (trend: Stable). adjusted_score = 4 x 0.6 x 1.0 x 1.0 = 2.4, clipped to [0,25].",Current
RA-0062,HAZ-0090,FAC-004,EQ-0034,,2026-04-07,EMP-0041,1,5,5,Not Assessed,1.0,0,1.0,Stable,1.0,5.0,Low,"raw_score = likelihood(1) x severity(5) = 5. control_effectiveness_factor=1.0 (rating: Not Assessed). recurrence_factor=1.0 (0 incidents trailing 12mo). trend_factor=1.0 (trend: Stable). adjusted_score = 5 x 1.0 x 1.0 x 1.0 = 5.0, clipped to [0,25].",Current
RA-0063,HAZ-0094,FAC-004,EQ-0038,,2025-12-30,EMP-0041,1,2,2,Ineffective,1.0,0,1.0,Stable,1.0,2.0,Low,"raw_score = likelihood(1) x severity(2) = 2. control_effectiveness_factor=1.0 (rating: Ineffective). recurrence_factor=1.0 (0 incidents trailing 12mo). trend_factor=1.0 (trend: Stable). adjusted_score = 2 x 1.0 x 1.0 x 1.0 = 2.0, clipped to [0,25].",Current
