action_id,action_type,source_type,source_incident_id,source_audit_finding_id,source_inspection_id,source_risk_assessment_id,related_control_id,description,facility_id,owner_employee_id,created_date,original_due_date,due_date,reschedule_count,status,completion_date,verification_method
ACT-0019,Corrective,Incident,INC-0083,,,,,Address root cause identified for INC-0083 (HAZ-0029: Ergonomic Strain).,FAC-002,EMP-0007,2025-05-06,2025-05-27,2025-05-27,0,Completed,2025-05-24,Supervisor sign-off
ACT-0020,Corrective,Incident,INC-0089,,,,,Address root cause identified for INC-0089 (HAZ-0065: Lockout/Tagout Violation).,FAC-002,EMP-0002,2026-03-12,2026-03-26,2026-03-26,0,Completed,2026-03-20,EHS audit confirmation
ACT-0021,Corrective,Incident,INC-0024,,,,CTL-0045,Address root cause identified for INC-0024 (HAZ-0075: Machine Guarding Failure).,FAC-002,EMP-0002,2026-04-26,2026-05-17,2026-05-17,0,Completed,2026-05-07,Follow-up inspection
ACT-0022,Corrective,Incident,INC-0007,,,,CTL-0003,Address root cause identified for INC-0007 (HAZ-0002: Forklift / Vehicle Incident).,FAC-003,EMP-0025,2025-12-07,2025-12-21,2025-12-21,0,Completed,2025-12-19,Follow-up inspection
ACT-0023,Corrective,Incident,INC-0041,,,,CTL-0051,Address root cause identified for INC-0041 (HAZ-0076: Fall / Working at Height).,FAC-001,EMP-0008,2026-03-09,2026-04-08,2026-04-08,0,Completed,2026-04-08,EHS audit confirmation
ACT-0024,Preventive,Incident,INC-0033,,,,CTL-0040,Address root cause identified for INC-0033 (HAZ-0034: Noise Exposure).,FAC-003,EMP-0009,2025-11-16,2025-12-16,2025-12-16,0,Completed,2025-12-07,Maintenance work order closure
ACT-0025,Corrective,Incident,INC-0014,,,,CTL-0035,Address root cause identified for INC-0014 (HAZ-0004: Equipment Failure Risk).,FAC-002,EMP-0002,2026-05-26,2026-06-25,2026-06-25,0,Completed,2026-06-24,Supervisor sign-off
ACT-0026,Corrective,Incident,INC-0072,,,,CTL-0033,Address root cause identified for INC-0072 (HAZ-0062: Ergonomic Strain).,FAC-002,EMP-0007,2026-03-13,2026-04-03,2026-04-03,0,Overdue,,Follow-up inspection
ACT-0027,Corrective,Incident,INC-0064,,,,,Address root cause identified for INC-0064 (HAZ-0056: Heat Stress).,FAC-002,EMP-0002,2025-10-15,2025-11-29,2025-11-29,0,Overdue,,EHS audit confirmation
ACT-0028,Preventive,Incident,INC-0050,,,,,Address root cause identified for INC-0050 (HAZ-0071: Lockout/Tagout Violation).,FAC-001,EMP-0013,2025-10-25,2025-11-08,2025-11-08,0,Overdue,,EHS audit confirmation
ACT-0029,Corrective,Incident,INC-0059,,,,CTL-0021,Address root cause identified for INC-0059 (HAZ-0031: Heat Stress).,FAC-001,EMP-0025,2025-12-05,2026-01-04,2026-01-04,0,Completed,2026-01-02,EHS audit confirmation
ACT-0030,Preventive,Incident,INC-0095,,,,,Address root cause identified for INC-0095 (HAZ-0054: Machine Guarding Failure).,FAC-003,EMP-0027,2026-04-27,2026-05-27,2026-05-27,0,Overdue,,Maintenance work order closure
ACT-0031,Preventive,Incident,INC-0026,,,,,Address root cause identified for INC-0026 (HAZ-0044: Housekeeping / Walkway Obstruction).,FAC-001,EMP-0027,2025-05-09,2025-06-08,2025-06-08,0,Completed,2025-06-04,Maintenance work order closure
ACT-0032,Corrective,Incident,INC-0048,,,,CTL-0023,Address root cause identified for INC-0048 (HAZ-0011: Forklift / Vehicle Incident).,FAC-003,EMP-0009,2026-01-02,2026-01-23,2026-01-23,0,Completed,2026-01-13,Retraining attendance record
ACT-0033,Corrective,Incident,INC-0084,,,,CTL-0023,Address root cause identified for INC-0084 (HAZ-0011: Forklift / Vehicle Incident).,FAC-002,EMP-0002,2026-08-24,2026-09-23,2026-09-23,0,Open,,Follow-up inspection
ACT-0034,Corrective,Incident,INC-0097,,,,CTL-0028,Address root cause identified for INC-0097 (HAZ-0068: Machine Guarding Failure).,FAC-001,EMP-0008,2025-02-01,2025-03-18,2025-03-18,0,Completed,2025-03-08,Follow-up inspection
ACT-0035,Preventive,Incident,INC-0071,,,,CTL-0005,Address root cause identified for INC-0071 (HAZ-0014: Noise Exposure).,FAC-002,EMP-0008,2026-06-10,2026-07-01,2026-07-01,0,Completed,2026-06-28,EHS audit confirmation
ACT-0036,Corrective,Incident,INC-0085,,,,,Address root cause identified for INC-0085 (HAZ-0053: Forklift / Vehicle Incident).,FAC-001,EMP-0025,2025-08-16,2025-09-15,2025-09-15,0,Overdue,,Follow-up inspection
ACT-0037,Corrective,Incident,INC-0067,,,,,Address root cause identified for INC-0067 (HAZ-0009: Housekeeping / Walkway Obstruction).,FAC-003,EMP-0003,2025-05-09,2025-06-08,2025-06-08,0,Completed,2025-06-06,Maintenance work order closure
ACT-0038,Corrective,Incident,INC-0087,,,,CTL-0028,Address root cause identified for INC-0087 (HAZ-0068: Machine Guarding Failure).,FAC-001,EMP-0008,2026-02-04,2026-03-21,2026-03-21,0,Completed,2026-03-17,Supervisor sign-off
ACT-0039,Preventive,Incident,INC-0028,,,,CTL-0030,Address root cause identified for INC-0028 (HAZ-0045: Lockout/Tagout Violation).,FAC-002,EMP-0007,2025-02-24,2025-03-10,2025-03-10,0,Completed,2025-03-08,EHS audit confirmation
ACT-0040,Corrective,Incident,INC-0094,,,,,Address root cause identified for INC-0094 (HAZ-0026: Chemical Exposure).,FAC-002,EMP-0025,2025-07-14,2025-08-13,2025-08-13,0,Completed,2025-08-13,Follow-up inspection
ACT-0041,Corrective,Incident,INC-0038,,,,CTL-0032,Address root cause identified for INC-0038 (HAZ-0019: Electrical Hazard / Arc Flash).,FAC-003,EMP-0003,2026-01-27,2026-02-10,2026-02-10,0,Completed,2026-02-03,EHS audit confirmation
ACT-0042,Preventive,Incident,INC-0002,,,,CTL-0002,Address root cause identified for INC-0002 (HAZ-0001: Forklift / Vehicle Incident).,FAC-001,EMP-0013,2025-07-31,2025-09-14,2025-09-14,0,Completed,2025-09-11,Follow-up inspection
ACT-0043,Corrective,Incident,INC-0042,,,,CTL-0006,Address root cause identified for INC-0042 (HAZ-0070: Heat Stress).,FAC-001,EMP-0004,2025-03-07,2025-03-28,2025-03-28,0,Completed,2025-03-21,Maintenance work order closure
ACT-0044,Preventive,Incident,INC-0027,,,,,Address root cause identified for INC-0027 (HAZ-0071: Lockout/Tagout Violation).,FAC-001,EMP-0007,2025-09-29,2025-10-29,2025-10-29,0,Completed,2025-10-25,Follow-up inspection
ACT-0045,Corrective,Incident,INC-0016,,,,CTL-0035,Address root cause identified for INC-0016 (HAZ-0004: Equipment Failure Risk).,FAC-002,EMP-0025,2025-08-03,2025-08-24,2025-08-24,0,Completed,2025-08-23,Follow-up inspection
ACT-0046,Corrective,Incident,INC-0052,,,,CTL-0019,Address root cause identified for INC-0052 (HAZ-0067: Chemical Exposure).,FAC-003,EMP-0025,2026-02-13,2026-03-15,2026-03-15,0,Completed,2026-03-06,Follow-up inspection
ACT-0047,Corrective,Incident,INC-0069,,,,CTL-0024,Address root cause identified for INC-0069 (HAZ-0051: Environmental Spill / Release).,FAC-003,EMP-0009,2025-10-14,2025-10-28,2025-10-28,0,Completed,2025-10-25,Follow-up inspection
ACT-0048,Corrective,Incident,INC-0006,,,,CTL-0003,Address root cause identified for INC-0006 (HAZ-0002: Forklift / Vehicle Incident).,FAC-003,EMP-0025,2025-11-04,2025-12-04,2025-12-04,0,Completed,2025-11-24,Follow-up inspection
ACT-0049,Corrective,Incident,INC-0086,,,,CTL-0050,Address root cause identified for INC-0086 (HAZ-0074: Overhead Crane / Rigging Hazard).,FAC-001,EMP-0007,2026-01-08,2026-02-22,2026-02-22,0,Completed,2026-02-20,Maintenance work order closure
ACT-0050,Corrective,Incident,INC-0098,,,,CTL-0045,Address root cause identified for INC-0098 (HAZ-0075: Machine Guarding Failure).,FAC-003,EMP-0003,2026-06-26,2026-07-17,2026-07-17,0,Completed,2026-07-12,Maintenance work order closure
ACT-0051,Preventive,Incident,INC-0049,,,,CTL-0025,Address root cause identified for INC-0049 (HAZ-0028: Electrical Hazard / Arc Flash).,FAC-001,EMP-0027,2026-01-11,2026-02-25,2026-02-25,0,Completed,2026-02-17,EHS audit confirmation
ACT-0052,Preventive,Incident,INC-0005,,,,CTL-0003,Address root cause identified for INC-0005 (HAZ-0002: Forklift / Vehicle Incident).,FAC-003,EMP-0003,2025-03-05,2025-03-26,2025-03-26,0,Overdue,,Follow-up inspection
ACT-0053,Corrective,Incident,INC-0061,,,,CTL-0032,Address root cause identified for INC-0061 (HAZ-0019: Electrical Hazard / Arc Flash).,FAC-001,EMP-0008,2026-06-30,2026-07-21,2026-07-21,0,Completed,2026-07-21,EHS audit confirmation
ACT-0054,Corrective,Incident,INC-0004,,,,CTL-0002,Address root cause identified for INC-0004 (HAZ-0001: Forklift / Vehicle Incident).,FAC-001,EMP-0007,2025-12-12,2026-01-26,2026-01-26,0,Completed,2026-01-19,EHS audit confirmation
ACT-0055,Corrective,Incident,INC-0093,,,,,Address root cause identified for INC-0093 (HAZ-0017: Falling Object / Struck-By).,FAC-002,EMP-0025,2026-02-18,2026-03-20,2026-03-20,0,Completed,2026-03-12,Supervisor sign-off
ACT-0056,Corrective,Incident,INC-0039,,,,CTL-0049,Address root cause identified for INC-0039 (HAZ-0059: Slip/Trip/Fall).,FAC-002,EMP-0002,2026-04-17,2026-05-17,2026-05-17,0,Completed,2026-05-17,Maintenance work order closure
ACT-0057,Corrective,Incident,INC-0063,,,,CTL-0021,Address root cause identified for INC-0063 (HAZ-0031: Heat Stress).,FAC-001,EMP-0013,2025-01-11,2025-02-10,2025-02-10,0,Completed,2025-01-31,Retraining attendance record
ACT-0058,Corrective,Incident,INC-0078,,,,,Address root cause identified for INC-0078 (HAZ-0049: Caught-In / Caught-Between).,FAC-002,EMP-0025,2026-01-29,2026-02-12,2026-02-12,0,Completed,2026-02-11,Follow-up inspection
ACT-0059,Preventive,Incident,INC-0030,,,,,Address root cause identified for INC-0030 (HAZ-0024: Confined Space Hazard).,FAC-001,EMP-0008,2025-03-29,2025-04-19,2025-04-19,0,Completed,2025-04-09,EHS audit confirmation
ACT-0060,Corrective,Incident,INC-0046,,,,CTL-0050,Address root cause identified for INC-0046 (HAZ-0074: Overhead Crane / Rigging Hazard).,FAC-001,EMP-0013,2025-09-11,2025-10-26,2025-10-26,0,Completed,2025-10-18,Follow-up inspection
ACT-0061,Corrective,Incident,INC-0099,,,,,Address root cause identified for INC-0099 (HAZ-0023: Pressure System Failure).,FAC-003,EMP-0027,2026-05-07,2026-05-28,2026-05-28,0,Completed,2026-05-25,Supervisor sign-off
ACT-0062,Corrective,Incident,INC-0032,,,,,Address root cause identified for INC-0032 (HAZ-0020: Chemical Exposure).,FAC-002,EMP-0008,2025-06-12,2025-06-26,2025-06-26,0,Completed,2025-06-19,Retraining attendance record
ACT-0063,Corrective,Incident,INC-0057,,,,CTL-0016,Address root cause identified for INC-0057 (HAZ-0018: Slip/Trip/Fall).,FAC-002,EMP-0002,2026-07-27,2026-09-10,2026-09-10,0,In Progress,,Maintenance work order closure
ACT-0064,Preventive,Incident,INC-0054,,,,CTL-0042,Address root cause identified for INC-0054 (HAZ-0050: Caught-In / Caught-Between).,FAC-002,EMP-0007,2026-01-12,2026-02-11,2026-02-11,0,Completed,2026-02-06,Supervisor sign-off
ACT-0065,Corrective,Incident,INC-0025,,,,CTL-0043,Address root cause identified for INC-0025 (HAZ-0037: Overhead Crane / Rigging Hazard).,FAC-003,EMP-0025,2025-04-03,2025-04-24,2025-04-24,0,Completed,2025-04-20,Retraining attendance record
ACT-0066,Preventive,Incident,INC-0075,,,,CTL-0042,Address root cause identified for INC-0075 (HAZ-0050: Caught-In / Caught-Between).,FAC-002,EMP-0008,2025-06-12,2025-07-27,2025-07-27,0,Completed,2025-07-21,Retraining attendance record
ACT-0067,Corrective,Incident,INC-0040,,,,CTL-0013,Address root cause identified for INC-0040 (HAZ-0040: Fire / Explosion Risk).,FAC-002,EMP-0002,2026-06-10,2026-07-25,2026-07-25,0,Completed,2026-07-21,Supervisor sign-off
ACT-0068,Corrective,Incident,INC-0092,,,,CTL-0033,Address root cause identified for INC-0092 (HAZ-0062: Ergonomic Strain).,FAC-002,EMP-0008,2025-07-19,2025-08-02,2025-08-02,0,Completed,2025-07-25,Retraining attendance record
ACT-0069,Corrective,Incident,INC-0074,,,,CTL-0028,Address root cause identified for INC-0074 (HAZ-0068: Machine Guarding Failure).,FAC-001,EMP-0007,2025-10-11,2025-11-10,2025-11-10,0,Completed,2025-11-09,Supervisor sign-off
ACT-0070,Corrective,Incident,INC-0001,,,,CTL-0002,Address root cause identified for INC-0001 (HAZ-0001: Forklift / Vehicle Incident).,FAC-001,EMP-0008,2025-08-26,2025-09-16,2025-09-16,0,Completed,2025-09-12,Supervisor sign-off
ACT-0071,Preventive,Incident,INC-0076,,,,CTL-0014,Address root cause identified for INC-0076 (HAZ-0041: Overhead Crane / Rigging Hazard).,FAC-001,EMP-0025,2025-11-01,2025-11-22,2025-11-22,0,Completed,2025-11-14,Follow-up inspection
ACT-0072,Corrective,Incident,INC-0079,,,,,Address root cause identified for INC-0079 (HAZ-0044: Housekeeping / Walkway Obstruction).,FAC-001,EMP-0025,2025-08-09,2025-09-08,2025-09-08,0,Completed,2025-08-30,Follow-up inspection
ACT-0073,Corrective,Incident,INC-0096,,,,,Address root cause identified for INC-0096 (HAZ-0017: Falling Object / Struck-By).,FAC-002,EMP-0008,2026-01-16,2026-01-30,2026-01-30,0,Completed,2026-01-25,Retraining attendance record
ACT-0074,Preventive,Incident,INC-0012,,,,CTL-0001,Address root cause identified for INC-0012 (HAZ-0003: Machine Guarding Failure).,FAC-002,EMP-0002,2025-07-21,2025-08-11,2025-08-11,0,Completed,2025-08-01,Follow-up inspection
ACT-0075,Corrective,Incident,INC-0013,,,,CTL-0001,Address root cause identified for INC-0013 (HAZ-0003: Machine Guarding Failure).,FAC-002,EMP-0025,2026-01-13,2026-02-12,2026-02-12,0,Overdue,,Maintenance work order closure
ACT-0076,Preventive,Incident,INC-0029,,,,CTL-0009,Address root cause identified for INC-0029 (HAZ-0063: Caught-In / Caught-Between).,FAC-002,EMP-0008,2025-08-24,2025-09-14,2025-09-14,0,Overdue,,EHS audit confirmation
ACT-0077,Corrective,Incident,INC-0035,,,,CTL-0026,Address root cause identified for INC-0035 (HAZ-0066: Heat Stress).,FAC-003,EMP-0009,2025-09-09,2025-10-09,2025-10-09,0,Overdue,,EHS audit confirmation
ACT-0078,Preventive,Incident,INC-0020,,,,CTL-0034,Address root cause identified for INC-0020 (HAZ-0030: Housekeeping / Walkway Obstruction).,FAC-002,EMP-0025,2026-01-15,2026-02-14,2026-02-14,0,Completed,2026-02-13,Retraining attendance record
ACT-0079,Corrective,Audit Finding,,AUD-0010,,,,Remediate audit finding AUD-0010: Emergency Preparedness.,FAC-002,EMP-0002,2026-07-06,2026-08-20,2026-08-20,0,Completed,2026-08-17,Follow-up inspection
ACT-0080,Corrective,Audit Finding,,AUD-0005,,,,Remediate audit finding AUD-0005: Emergency Preparedness.,FAC-001,EMP-0004,2026-05-30,2026-06-29,2026-06-29,0,Completed,2026-06-29,Supervisor sign-off
ACT-0081,Corrective,Audit Finding,,AUD-0020,,,,Remediate audit finding AUD-0020: Emergency Preparedness.,FAC-002,EMP-0007,2026-04-12,2026-05-12,2026-05-12,0,Overdue,,Maintenance work order closure
ACT-0082,Corrective,Audit Finding,,AUD-0028,,,,Remediate audit finding AUD-0028: Documentation/Recordkeeping.,FAC-002,EMP-0002,2025-05-23,2025-06-13,2025-06-13,0,Completed,2025-06-12,EHS audit confirmation
ACT-0083,Corrective,Audit Finding,,AUD-0014,,,,Remediate audit finding AUD-0014: Documentation/Recordkeeping.,FAC-003,EMP-0009,2025-03-02,2025-04-16,2025-04-16,0,Completed,2025-04-07,EHS audit confirmation
ACT-0084,Corrective,Audit Finding,,AUD-0019,,,,Remediate audit finding AUD-0019: Documentation/Recordkeeping.,FAC-002,EMP-0002,2026-07-02,2026-07-23,2026-07-23,0,Completed,2026-07-13,Retraining attendance record
ACT-0085,Corrective,Audit Finding,,AUD-0030,,,,Remediate audit finding AUD-0030: Documentation/Recordkeeping.,FAC-002,EMP-0007,2025-02-16,2025-03-09,2025-03-09,0,Completed,2025-03-06,Maintenance work order closure
ACT-0086,Corrective,Audit Finding,,AUD-0023,,,,Remediate audit finding AUD-0023: Energy Control (LOTO).,FAC-001,EMP-0007,2026-07-22,2026-09-05,2026-09-05,0,In Progress,,Maintenance work order closure
ACT-0087,Corrective,Audit Finding,,AUD-0029,,,,Remediate audit finding AUD-0029: Energy Control (LOTO).,FAC-002,EMP-0002,2025-05-28,2025-07-12,2025-07-12,0,Completed,2025-07-05,Retraining attendance record
ACT-0088,Corrective,Audit Finding,,AUD-0003,,,,Remediate audit finding AUD-0003: Environmental Compliance.,FAC-001,EMP-0007,2025-12-22,2026-01-21,2026-01-21,0,Completed,2026-01-13,Retraining attendance record
ACT-0089,Corrective,Audit Finding,,AUD-0013,,,,Remediate audit finding AUD-0013: Environmental Compliance.,FAC-003,EMP-0009,2026-05-06,2026-06-05,2026-06-05,0,Overdue,,EHS audit confirmation
ACT-0090,Corrective,Audit Finding,,AUD-0017,,,,Remediate audit finding AUD-0017: Housekeeping.,FAC-002,EMP-0002,2025-05-06,2025-06-20,2025-06-20,0,Overdue,,EHS audit confirmation
ACT-0091,Preventive,Inspection,,,INSP-0035,,,Correct deficiency from INSP-0035 (PPE Compliance Audit).,FAC-001,EMP-0025,2026-05-14,2026-05-28,2026-05-28,0,Completed,2026-05-20,Supervisor sign-off
ACT-0092,Preventive,Inspection,,,INSP-0064,,,Correct deficiency from INSP-0064 (Environmental Compliance Check).,FAC-003,EMP-0025,2026-08-03,2026-09-02,2026-09-02,0,Completed,2026-08-29,Maintenance work order closure
ACT-0093,Preventive,Inspection,,,INSP-0033,,,Correct deficiency from INSP-0033 (Environmental Compliance Check).,FAC-001,EMP-0025,2025-08-08,2025-09-07,2025-09-07,0,Completed,2025-09-07,Maintenance work order closure
ACT-0094,Preventive,Inspection,,,INSP-0067,,,Correct deficiency from INSP-0067 (Crane & Rigging Inspection).,FAC-001,EMP-0025,2026-02-16,2026-03-18,2026-03-18,0,Completed,2026-03-10,EHS audit confirmation
ACT-0095,Preventive,Inspection,,,INSP-0023,,,Correct deficiency from INSP-0023 (PPE Compliance Audit).,FAC-002,EMP-0025,2025-03-12,2025-04-11,2025-04-11,0,Overdue,,Retraining attendance record
ACT-0096,Preventive,Inspection,,,INSP-0011,,,Correct deficiency from INSP-0011 (PPE Compliance Audit).,FAC-002,EMP-0025,2025-01-30,2025-02-13,2025-02-13,0,Overdue,,Follow-up inspection
ACT-0097,Preventive,Inspection,,,INSP-0025,,,Correct deficiency from INSP-0025 (Fire System Inspection).,FAC-001,EMP-0025,2026-06-30,2026-07-30,2026-07-30,0,Completed,2026-07-27,Retraining attendance record
ACT-0098,Preventive,Risk Assessment,,,,RA-0003,,Implement additional preventive control for Machine Guarding Failure risk (RA-0003).,FAC-001,EMP-0014,2026-08-24,2026-10-08,2026-10-08,0,In Progress,,Retraining attendance record
ACT-0099,Preventive,Risk Assessment,,,,RA-0018,,Implement additional preventive control for Overhead Crane / Rigging Hazard risk (RA-0018).,FAC-001,EMP-0017,2026-02-27,2026-04-13,2026-04-13,0,Completed,2026-04-08,EHS audit confirmation
ACT-0100,Preventive,Risk Assessment,,,,RA-0027,,Implement additional preventive control for Caught-In / Caught-Between risk (RA-0027).,FAC-002,EMP-0002,2025-12-21,2026-02-04,2026-02-04,0,Overdue,,Retraining attendance record
