corrective_action_id,incident_id,risk_assessment_id,facility_id,equipment_id,action_type,description,owner_employee_id,created_date,due_date,status,completion_date,verification_method
CA-0028,INC-0029,,FAC-001,EQ-0022,Preventive,Install additional ventilation/cooling near Forklift (Propane); adjust work-rest cycles.,EMP-0025,2024-01-10,2024-03-10,Completed,2024-03-07,Retraining attendance record
CA-0029,,RISK-0041,FAC-003,EQ-0047,Preventive,Provide electrolyte stations and heat stress training for Conveyor System area staff.,EMP-0022,2025-05-18,2025-07-17,Open,,Retraining attendance record
CA-0030,INC-0053,,FAC-001,EQ-0008,Corrective,Repair fluid leak source and install absorbent mats near Standby Generator.,EMP-0019,2024-02-01,2024-03-02,In Progress,,Follow-up inspection
CA-0031,INC-0079,,FAC-002,EQ-0030,Corrective,Retrain forklift operator; review speed limits in Cooling Tower zone.,EMP-0003,2024-10-22,2024-11-21,Open,,EHS audit confirmation
CA-0032,INC-0099,RISK-0020,FAC-002,EQ-0038,Corrective,Rotate staff assignments at Paint Booth / Coating Line station to reduce repetitive strain exposure.,EMP-0003,2024-04-26,2026-08-07,Overdue,,Maintenance work order closure
CA-0033,INC-0031,,FAC-001,EQ-0022,Preventive,Install additional ventilation/cooling near Forklift (Propane); adjust work-rest cycles.,EMP-0018,2024-08-11,2024-10-10,Completed,2024-09-30,Supervisor sign-off
CA-0034,,RISK-0045,FAC-002,EQ-0030,Corrective,Rotate staff assignments at Cooling Tower station to reduce repetitive strain exposure.,EMP-0029,2024-09-26,2024-11-10,Completed,2024-11-03,Follow-up inspection
CA-0035,INC-0005,,FAC-003,EQ-0024,Corrective,Repair seal/leak source on CNC Machining Center and replenish spill kit inventory nearby.,EMP-0026,2026-01-25,2026-04-25,In Progress,,EHS audit confirmation
CA-0036,INC-0010,RISK-0016,FAC-003,EQ-0016,Corrective,Retrain forklift operator; review speed limits in Standby Generator zone.,EMP-0020,2024-05-22,2024-06-21,Completed,2024-06-21,EHS audit confirmation
CA-0037,INC-0008,RISK-0019,FAC-003,EQ-0047,Preventive,Update LOTO isolation points documentation for Conveyor System.,EMP-0020,2025-07-05,2025-08-04,In Progress,,Maintenance work order closure
CA-0038,,RISK-0050,FAC-003,EQ-0016,Preventive,Update LOTO isolation points documentation for Standby Generator.,EMP-0018,2026-05-28,2026-08-26,Completed,2026-08-24,Retraining attendance record
CA-0039,INC-0069,RISK-0005,FAC-002,EQ-0026,Preventive,Update SDS access point and reinforce PPE requirement for solvent handling near Cooling Tower.,EMP-0003,2024-05-09,2024-06-08,Completed,2024-06-06,Maintenance work order closure
CA-0040,INC-0019,,FAC-001,EQ-0004,Preventive,Conduct ergonomic assessment of Industrial Boiler workstation and implement adjustable fixtures.,EMP-0016,2024-05-25,2024-08-23,In Progress,,Retraining attendance record
CA-0041,INC-0010,,FAC-003,EQ-0016,Preventive,Retrain forklift operator; review speed limits in Standby Generator zone.,EMP-0003,2025-10-10,2025-10-24,Open,,EHS audit confirmation
CA-0042,INC-0049,,FAC-001,EQ-0005,Preventive,Reroute or secure cabling near Overhead Bridge Crane walkway; add signage.,EMP-0015,2026-08-31,2026-10-30,In Progress,,EHS audit confirmation
CA-0043,INC-0058,,FAC-003,EQ-0031,Corrective,Conduct ergonomic assessment of Industrial Boiler workstation and implement adjustable fixtures.,EMP-0024,2025-04-14,2025-05-29,Completed,2025-05-21,Retraining attendance record
CA-0044,INC-0089,RISK-0014,FAC-002,EQ-0050,Preventive,Inspect and recalibrate relief valve and gauges on Overhead Bridge Crane.,EMP-0014,2025-05-21,2025-07-05,In Progress,,Maintenance work order closure
CA-0045,INC-0038,,FAC-002,EQ-0042,Corrective,Install fixed gas monitoring near Standby Generator confined space entry point.,EMP-0003,2026-05-22,2026-07-21,In Progress,,Follow-up inspection
CA-0046,INC-0042,,FAC-002,EQ-0023,Corrective,Install additional e-stop and nip point guarding on Conveyor System.,EMP-0003,2026-03-13,2026-05-12,Completed,2026-05-11,Supervisor sign-off
CA-0047,INC-0017,,FAC-003,EQ-0011,Preventive,Update jam-clearing procedure and require LOTO before clearing Hydraulic Press.,EMP-0001,2025-03-14,2025-04-13,Completed,2025-04-03,Maintenance work order closure
CA-0048,,RISK-0036,FAC-001,EQ-0017,Preventive,Install additional ventilation/cooling near Conveyor System; adjust work-rest cycles.,EMP-0003,2025-11-01,2025-12-16,In Progress,,Follow-up inspection
CA-0049,,RISK-0049,FAC-003,EQ-0027,Corrective,Provide electrolyte stations and heat stress training for Punch Press area staff.,EMP-0002,2025-02-09,2025-03-26,Completed,2025-03-20,Follow-up inspection
CA-0050,INC-0073,,FAC-001,EQ-0040,Corrective,Perform arc flash risk assessment and update warning labels on Automated Guided Vehicle (AGV).,EMP-0007,2025-05-03,2025-05-17,Completed,2025-05-08,Supervisor sign-off
CA-0051,INC-0096,RISK-0024,FAC-002,EQ-0023,Corrective,Implement daily housekeeping audit checklist for Conveyor System area.,EMP-0014,2025-12-13,2026-01-27,Completed,2026-01-21,Supervisor sign-off
CA-0052,INC-0093,,FAC-002,EQ-0046,Corrective,Install secondary containment for chemical transfer near Ventilation / Dust Collection System.,EMP-0014,2025-01-27,2025-02-10,Completed,2025-02-09,Maintenance work order closure
CA-0053,INC-0030,,FAC-002,EQ-0020,Preventive,Retrain crane operators on load-securing procedure for Hydraulic Press.,EMP-0014,2025-01-26,2025-02-25,Completed,2025-02-24,EHS audit confirmation
CA-0054,INC-0020,,FAC-003,EQ-0011,Corrective,Install additional ventilation/cooling near Hydraulic Press; adjust work-rest cycles.,EMP-0015,2024-12-25,2025-01-24,Completed,2025-01-18,EHS audit confirmation
CA-0055,INC-0065,RISK-0021,FAC-003,EQ-0043,Corrective,Schedule third-party pressure system certification for CNC Machining Center.,EMP-0003,2026-07-07,2026-07-21,Completed,2026-07-20,EHS audit confirmation
CA-0056,INC-0028,,FAC-002,EQ-0045,Preventive,Rotate staff assignments at Robotic Welding Arm station to reduce repetitive strain exposure.,EMP-0029,2024-11-18,2024-12-18,Completed,2024-12-14,Follow-up inspection
CA-0057,,RISK-0033,FAC-003,EQ-0043,Preventive,Install additional ventilation/cooling near CNC Machining Center; adjust work-rest cycles.,EMP-0025,2026-08-21,2026-09-04,In Progress,,Supervisor sign-off
CA-0058,INC-0022,,FAC-001,EQ-0001,Preventive,Provide additional hearing protection and post noise hazard signage near CNC Machining Center.,EMP-0010,2025-10-23,2025-11-06,Completed,2025-10-30,Retraining attendance record
CA-0059,,RISK-0047,FAC-001,EQ-0004,Corrective,Install convex mirrors and repaint pedestrian lanes near Industrial Boiler.,EMP-0016,2025-10-15,2026-01-13,Completed,2026-01-05,Follow-up inspection
CA-0060,INC-0072,,FAC-003,EQ-0007,Preventive,Repair exposed wiring and schedule electrical safety inspection for Hydraulic Press.,EMP-0005,2025-01-31,2025-05-01,Open,,Maintenance work order closure
CA-0061,INC-0044,,FAC-001,EQ-0015,Preventive,Secure overhead storage and inspect racking near Paint Booth / Coating Line.,EMP-0025,2026-02-27,2026-03-13,Completed,2026-03-04,Follow-up inspection
CA-0062,INC-0006,,FAC-001,EQ-0005,Preventive,Designate and mark storage zones away from egress paths near Overhead Bridge Crane.,EMP-0007,2024-02-10,2024-02-24,Open,,EHS audit confirmation
CA-0063,INC-0040,,FAC-003,EQ-0011,Preventive,Implement daily housekeeping audit checklist for Hydraulic Press area.,EMP-0014,2025-12-19,2026-02-17,Completed,2026-02-07,EHS audit confirmation
CA-0064,,RISK-0034,FAC-002,EQ-0014,Preventive,Replace worn rigging and conduct full inspection of Robotic Welding Arm.,EMP-0014,2024-11-13,2026-08-04,Overdue,,Supervisor sign-off
CA-0065,INC-0086,,FAC-003,EQ-0002,Preventive,Install additional ventilation/cooling near Overhead Bridge Crane; adjust work-rest cycles.,EMP-0013,2025-08-23,2025-09-06,In Progress,,Retraining attendance record
CA-0066,,RISK-0044,FAC-003,EQ-0031,Corrective,Inspect and service Industrial Boiler motor/cooling system; add thermal monitoring.,EMP-0008,2024-03-29,2024-05-28,Completed,2024-05-21,EHS audit confirmation
CA-0067,,RISK-0046,FAC-001,EQ-0012,Preventive,Repair fluid leak source and install absorbent mats near Punch Press.,EMP-0022,2026-01-29,2026-02-28,Completed,2026-02-28,Supervisor sign-off
CA-0068,INC-0059,,FAC-002,EQ-0046,Corrective,Retrain affected technicians on LOTO procedure for Ventilation / Dust Collection System; conduct audit within 30 days.,EMP-0029,2026-09-02,2026-08-17,Overdue,,Maintenance work order closure
CA-0069,INC-0078,,FAC-002,EQ-0048,Preventive,Update SDS access point and reinforce PPE requirement for solvent handling near Electrical Distribution Panel.,EMP-0014,2026-02-06,2026-03-23,Completed,2026-03-23,Maintenance work order closure
CA-0070,,RISK-0038,FAC-002,EQ-0050,Preventive,Retrain forklift operator; review speed limits in Overhead Bridge Crane zone.,EMP-0003,2024-03-06,2026-08-13,Overdue,,Follow-up inspection
CA-0071,INC-0083,RISK-0030,FAC-002,EQ-0038,Preventive,Evaluate engineering noise controls for Paint Booth / Coating Line.,EMP-0003,2025-01-03,2025-01-17,Open,,EHS audit confirmation
CA-0072,INC-0057,RISK-0029,FAC-003,EQ-0043,Preventive,Repair fluid leak source and install absorbent mats near CNC Machining Center.,EMP-0006,2024-09-18,2026-08-12,Overdue,,Follow-up inspection
CA-0073,INC-0097,,FAC-002,EQ-0034,Corrective,Secure overhead storage and inspect racking near Conveyor System.,EMP-0014,2026-05-29,2026-06-12,Completed,2026-06-12,Retraining attendance record
CA-0074,INC-0018,,FAC-003,EQ-0029,Preventive,Rotate staff assignments at Forklift (Propane) station to reduce repetitive strain exposure.,EMP-0030,2024-06-02,2024-07-02,Completed,2024-06-24,Retraining attendance record
CA-0075,INC-0086,RISK-0006,FAC-003,EQ-0002,Preventive,Install additional ventilation/cooling near Overhead Bridge Crane; adjust work-rest cycles.,EMP-0008,2025-03-02,2025-04-16,In Progress,,Follow-up inspection
CA-0076,INC-0068,RISK-0012,FAC-001,EQ-0001,Corrective,Retrain forklift operator; review speed limits in CNC Machining Center zone.,EMP-0017,2025-11-20,2025-12-04,Completed,2025-12-01,EHS audit confirmation
CA-0077,INC-0100,,FAC-003,EQ-0011,Preventive,Reinforce confined space permit process for entries near Hydraulic Press.,EMP-0003,2026-06-17,2026-08-16,In Progress,,Maintenance work order closure
CA-0078,INC-0065,,FAC-003,EQ-0043,Corrective,Schedule third-party pressure system certification for CNC Machining Center.,EMP-0018,2025-04-12,2025-04-26,In Progress,,Supervisor sign-off
CA-0079,INC-0045,,FAC-003,EQ-0016,Preventive,Update LOTO isolation points documentation for Standby Generator.,EMP-0024,2025-09-29,2025-10-29,Open,,Maintenance work order closure
CA-0080,INC-0001,,FAC-002,EQ-0046,Corrective,Install secondary containment for chemical transfer near Ventilation / Dust Collection System.,EMP-0003,2026-07-11,2026-10-09,Completed,2026-10-07,Follow-up inspection
CA-0081,INC-0013,,FAC-003,EQ-0032,Corrective,Reinforce hot work permit compliance near Electrical Distribution Panel.,EMP-0008,2025-07-08,2025-08-22,Completed,2025-08-17,Follow-up inspection
CA-0082,INC-0015,,FAC-002,EQ-0035,Preventive,Retrain crane operators on load-securing procedure for Punch Press.,EMP-0014,2024-07-29,2024-10-27,Completed,2024-10-21,Retraining attendance record
CA-0083,INC-0052,,FAC-003,EQ-0049,Corrective,Replace worn rigging and conduct full inspection of Punch Press.,EMP-0023,2024-10-13,2024-10-27,Completed,2024-10-24,EHS audit confirmation
CA-0084,INC-0046,,FAC-002,EQ-0014,Preventive,Evaluate engineering noise controls for Robotic Welding Arm.,EMP-0029,2026-02-04,2026-08-30,Overdue,,EHS audit confirmation
CA-0085,INC-0056,,FAC-001,EQ-0008,Preventive,Secure overhead storage and inspect racking near Standby Generator.,EMP-0003,2025-08-29,2025-11-27,Completed,2025-11-21,Supervisor sign-off
CA-0086,INC-0077,RISK-0010,FAC-002,EQ-0042,Preventive,Install additional ventilation/cooling near Standby Generator; adjust work-rest cycles.,EMP-0029,2026-05-21,2026-07-05,Open,,Maintenance work order closure
CA-0087,,RISK-0043,FAC-001,EQ-0044,Preventive,Install secondary containment for chemical transfer near Air Compressor.,EMP-0009,2024-08-27,2024-09-10,Completed,2024-09-08,EHS audit confirmation
CA-0088,INC-0074,RISK-0023,FAC-003,EQ-0028,Corrective,Repair fluid leak source and install absorbent mats near Packaging Line.,EMP-0004,2024-06-17,2024-08-16,Open,,Maintenance work order closure
CA-0089,INC-0021,,FAC-003,EQ-0031,Corrective,Update LOTO isolation points documentation for Industrial Boiler.,EMP-0018,2025-01-01,2025-01-31,Open,,Maintenance work order closure
CA-0090,,RISK-0042,FAC-003,EQ-0028,Preventive,Reinforce hot work permit compliance near Packaging Line.,EMP-0028,2024-05-02,2024-05-16,Completed,2024-05-06,Maintenance work order closure
CA-0091,INC-0026,RISK-0022,FAC-002,EQ-0042,Corrective,Update SDS access point and reinforce PPE requirement for solvent handling near Standby Generator.,EMP-0029,2024-05-31,2024-06-14,Completed,2024-06-09,Retraining attendance record
CA-0092,INC-0011,,FAC-002,EQ-0010,Preventive,Install additional e-stop and nip point guarding on CNC Machining Center.,EMP-0029,2026-04-19,2026-05-19,Completed,2026-05-13,Retraining attendance record
CA-0093,INC-0047,RISK-0015,FAC-002,EQ-0034,Corrective,Repair seal/leak source on Conveyor System and replenish spill kit inventory nearby.,EMP-0029,2024-04-14,2024-05-14,Completed,2024-05-14,Follow-up inspection
CA-0094,INC-0035,,FAC-003,EQ-0011,Corrective,Inspect and recalibrate relief valve and gauges on Hydraulic Press.,EMP-0007,2026-04-23,2026-06-22,In Progress,,Follow-up inspection
CA-0095,INC-0043,,FAC-002,EQ-0014,Corrective,Update LOTO isolation points documentation for Robotic Welding Arm.,EMP-0014,2024-03-07,2024-04-06,Open,,Supervisor sign-off
CA-0096,INC-0095,,FAC-001,EQ-0044,Preventive,Reinforce confined space permit process for entries near Air Compressor.,EMP-0004,2024-02-13,2024-04-13,Completed,2024-04-11,EHS audit confirmation
CA-0097,INC-0012,,FAC-002,EQ-0034,Preventive,Install debris guard on Conveyor System to contain ejected parts.,EMP-0029,2024-01-31,2024-03-31,Open,,Supervisor sign-off
CA-0098,,RISK-0032,FAC-003,EQ-0028,Corrective,Evaluate engineering noise controls for Packaging Line.,EMP-0030,2024-07-10,2024-08-24,In Progress,,Retraining attendance record
CA-0099,INC-0097,RISK-0004,FAC-002,EQ-0034,Corrective,Secure overhead storage and inspect racking near Conveyor System.,EMP-0003,2025-09-26,2025-12-25,Completed,2025-12-15,Maintenance work order closure
CA-0100,INC-0088,,FAC-003,EQ-0047,Preventive,Update LOTO isolation points documentation for Conveyor System.,EMP-0029,2025-07-17,2025-09-15,Completed,2025-09-14,Maintenance work order closure
